,Symbol,Name,Market,SecuGroup,Kind,ListingDate,DelistingDate,Reason,ArrantEnforceDate,ArrantEndDate,Industry,ParValue,ListingShares,ToSymbol,ToName
0,028740,경성전기,KOSPI,주권,,1956-03-03,1961-06-30,상장폐지유예기간종료,,,,,,,
1,028730,남선전기,KOSPI,주권,,1956-03-03,1961-06-30,상장폐지유예기간종료,,,,,,,
2,034380,조선맥주,KOSPI,주권,,1956-10-01,1960-11-26,상장폐지유예기간종료,,,,,,,
3,028720,수도극장,KOSPI,주권,,1957-07-01,1960-11-21,상장폐지유예기간종료,,,,,,,
4,028750,한국운수,KOSPI,주권,,1956-03-03,1962-01-04,상장폐지유예기간종료,,,,,,,
5,028760,한국유리,KOSPI,주권,,1968-02-01,1968-04-01,상장폐지유예기간종료,,,,,,,
6,028770,인천중공업,KOSPI,주권,,1966-03-18,1970-04-01,상장폐지유예기간종료,,,,,,,
7,028780,국제관광공사,KOSPI,주권,,1966-03-18,1973-03-20,상장폐지유예기간종료,,,,,,,
8,028790,호남비료,KOSPI,주권,,1966-03-18,1973-03-20,상장폐지유예기간종료,,,,,,,
9,003305,한일시멘트우,KOSPI,주권,,1969-11-20,1975-03-17,,,,,,,,
10,028830,제일스레트공업,KOSPI,주권,,1970-02-20,1975-06-02,해산 사유 발생,,,,,,,
11,028820,한국증권금융,KOSPI,주권,,1956-03-03,1974-11-15,상장폐지유예기간종료,,,,,,,
12,028810,한국증권거래소,KOSPI,주권,,1956-03-03,1974-06-29,상장폐지유예기간종료,,,,,,,
13,028845,금성유업우,KOSPI,주권,,1975-07-11,1976-01-19,,,,,,,,
14,003095,대웅우,KOSPI,주권,,1974-01-29,1976-04-19,,,,,,,,
15,001445,대한전선우,KOSPI,주권,,1970-06-30,1976-04-19,,,,,,,,
16,000645,동아제약우,KOSPI,주권,,1970-02-10,1976-04-22,,,,,,,,
17,002085,벽산개발우,KOSPI,주권,,1976-05-26,1976-10-23,,,,,,,,
18,029055,서통화학우,KOSPI,주권,,1974-03-11,1976-04-10,,,,,,,,
19,001805,오리온우,KOSPI,주권,,1975-06-27,1976-01-01,,,,,,,,
20,000935,한화기계우,KOSPI,주권,,1973-08-08,1976-04-01,,,,,,,,
21,028850,동성판유리,KOSPI,주권,,1972-05-17,1976-05-14,해산 사유 발생,,,,,,,
22,028857,동성판유리2우,KOSPI,주권,,1972-05-17,1976-05-14,종목별 상장폐지신청,,,,,,,
23,028857,동성판유리2우,KOSPI,주권,,1972-05-17,1976-05-14,해산 사유 발생,,,,,,,
24,028859,동성판유리3우,KOSPI,주권,,1972-05-17,1976-05-14,해산 사유 발생,,,,,,,
25,028859,동성판유리3우,KOSPI,주권,,1972-05-17,1976-05-14,종목별 상장폐지신청,,,,,,,
26,028855,동성판유리우,KOSPI,주권,,1972-05-17,1976-05-14,종목별 상장폐지신청,,,,,,,
27,028855,동성판유리우,KOSPI,주권,,1972-05-17,1976-05-14,해산 사유 발생,,,,,,,
28,028840,금성유업,KOSPI,주권,,1975-07-11,1976-04-13,해산 사유 발생,,,,,,,
29,028345,일신제강우,KOSPI,주권,,1975-03-03,1979-04-16,,,,,,,,
30,028910,극동필트론,KOSPI,주권,,1976-12-28,1979-11-17,해산 사유 발생,,,,,,,
31,028915,극동필트론우,KOSPI,주권,,1976-12-28,1979-11-17,종목별 상장폐지신청,,,,,,,
32,028890,대한염업,KOSPI,주권,,1966-03-18,1979-07-21,상장폐지유예기간종료,,,,,,,
33,028860,문화방송,KOSPI,주권,,1968-12-27,1979-07-21,상장폐지유예기간종료,,,,,,,
34,028870,신진자동차판매,KOSPI,주권,,1968-12-27,1979-07-21,상장폐지유예기간종료,,,,,,,
35,028875,신진자동차판매우,KOSPI,주권,,1970-12-18,1979-07-21,상장폐지유예기간종료,,,,,,,
36,028875,신진자동차판매우,KOSPI,주권,,1970-12-18,1979-07-21,종목별 상장폐지신청,,,,,,,
37,028880,한독맥주,KOSPI,주권,,1975-04-09,1979-07-21,상장폐지유예기간종료,,,,,,,
38,028900,해외섬유,KOSPI,주권,,1975-12-27,1979-07-21,상장폐지유예기간종료,,,,,,,
39,028905,해외섬유우,KOSPI,주권,,1975-12-27,1979-07-21,종목별 상장폐지신청,,,,,,,
40,028905,해외섬유우,KOSPI,주권,,1975-12-27,1979-07-21,상장폐지유예기간종료,,,,,,,
41,001575,금양우,KOSPI,주권,,1976-12-17,1980-03-20,,,,,,,,
42,003815,대우우,KOSPI,주권,,1977-06-30,1981-03-31,,,,,,,,
43,002905,동양물산기업우,KOSPI,주권,,1979-11-26,1980-03-17,,,,,,,,
44,004335,진영산업우,KOSPI,주권,,1976-12-28,1980-11-27,,,,,,,,
45,029040,대우실업,KOSPI,주권,,1973-08-10,1981-12-31,해산 사유 발생,,,,,,,
46,029030,대한종합건설,KOSPI,주권,,1978-11-25,1981-11-28,해산 사유 발생,,,,,,,
47,029035,대한종합건설우,KOSPI,주권,,1978-11-25,1981-11-28,종목별 상장폐지신청,,,,,,,
48,029020,코오롱포리에스타,KOSPI,주권,,1975-06-23,1981-11-21,해산 사유 발생,,,,,,,
49,029010,옥포기업,KOSPI,주권,,1977-06-15,1981-06-26,해산 사유 발생,,,,,,,
50,029000,건설산업,KOSPI,주권,,1977-06-30,1981-06-24,상장폐지유예기간종료,1981-06-08,1981-06-23,,,,,
51,029005,건설산업우,KOSPI,주권,,1977-06-30,1981-06-24,상장폐지유예기간종료,1981-06-08,1981-06-23,,,,,
52,028990,새한상사,KOSPI,주권,,1973-05-30,1981-06-24,상장폐지유예기간종료,1981-06-08,1981-06-23,,,,,
53,028980,신승기업,KOSPI,주권,,1978-02-08,1981-06-24,상장폐지유예기간종료,1981-06-08,1981-06-23,,,,,
54,028985,신승기업우,KOSPI,주권,,1978-02-08,1981-06-24,상장폐지유예기간종료,1981-06-08,1981-06-23,,,,,
55,028970,금강산업,KOSPI,주권,,1978-03-16,1981-01-24,상장폐지유예기간종료,1981-01-08,1981-01-23,,,,,
56,028975,금강산업우,KOSPI,주권,,1978-03-16,1981-01-24,상장폐지유예기간종료,1981-01-08,1981-01-23,,,,,
57,028950,삼화프라스틱,KOSPI,주권,,1975-05-16,1981-01-24,상장폐지유예기간종료,1981-01-08,1981-01-23,,,,,
58,028960,옥전산업,KOSPI,주권,,1977-12-23,1981-01-24,상장폐지유예기간종료,1981-01-08,1981-01-23,,,,,
59,028965,옥전산업우,KOSPI,주권,,1977-12-23,1981-01-24,상장폐지유예기간종료,1981-01-08,1981-01-23,,,,,
60,028940,대협,KOSPI,주권,,1977-06-25,1980-12-26,영업활동정지 6월 계속,,,,,,,
61,028930,금성산업,KOSPI,주권,,1976-12-28,1980-04-19,상장폐지유예기간종료,,,,,,,
62,028935,금성산업우,KOSPI,주권,,1976-12-28,1980-04-19,상장폐지유예기간종료,,,,,,,
63,028920,대진해운,KOSPI,주권,,1974-02-21,1980-04-19,상장폐지유예기간종료,,,,,,,
64,002695,동일제강우,KOSPI,주권,,1975-12-26,1980-04-19,상장폐지유예기간종료,,,,,,002690,동일제강
65,001355,대한모방우,KOSPI,주권,,1977-06-30,1983-04-09,,,,,,,,
66,005035,부산주공우,KOSPI,주권,,1975-12-26,1982-03-12,,,,,,,,
67,004235,세신우,KOSPI,주권,,1978-07-28,1982-04-12,,,,,,,,
68,028645,풍진우,KOSPI,주권,,1976-12-28,1982-09-22,,,,,,,,
69,028370,대망,KOSPI,주권,,1975-05-09,1983-11-10,상장폐지유예기간종료,1983-10-25,1983-11-09,,,,,
70,028375,대망우,KOSPI,주권,,1975-05-09,1983-11-10,상장폐지유예기간종료,1983-10-25,1983-11-09,,,,,
71,028350,새서울상사,KOSPI,주권,,1977-06-11,1983-06-15,상장폐지유예기간종료,1983-05-28,1983-06-14,,,,,
72,028355,새서울상사우,KOSPI,주권,,1977-06-11,1983-06-15,상장폐지유예기간종료,1983-05-28,1983-06-14,,,,,
73,031060,일신,KOSPI,주권,,1976-10-13,1983-06-15,상장폐지유예기간종료,1983-05-28,1983-06-14,,,,,
74,029140,태창목재공업,KOSPI,주권,,1975-12-27,1983-06-15,상장폐지유예기간종료,1983-05-28,1983-06-14,,,,,
75,028360,평안섬유공업,KOSPI,주권,,1975-06-30,1983-06-15,상장폐지유예기간종료,,1983-06-14,,,,,
76,028330,고려원양,KOSPI,주권,,1973-06-27,1983-01-20,상장폐지유예기간종료,,1983-01-19,,,,,
77,028340,일신제강,KOSPI,주권,,1973-08-24,1983-01-20,상장폐지유예기간종료,1983-01-04,1983-01-19,,,,,
78,029130,보고산업,KOSPI,주권,,1975-12-27,1982-07-24,해산 사유 발생,,,,,,,
79,029135,보고산업우,KOSPI,주권,,1975-12-27,1982-07-24,종목별 상장폐지신청,,,,,,,
80,029060,남양소금,KOSPI,주권,,1972-11-30,1982-05-21,상장폐지유예기간종료,1982-05-04,1982-05-20,,,,,
