,Symbol,Name,Market,SecuGroup,Kind,ListingDate,DelistingDate,Reason,ArrantEnforceDate,ArrantEndDate,Industry,ParValue,ListingShares,ToSymbol,ToName
49,1154801B,씨유메디칼 22R,KOSDAQ,신주인수권증서,보통주,2021-07-14,2021-07-21,,,,,0.0,14993029,,
50,0121701B,아센디오 105R,KOSPI,신주인수권증서,보통주,2021-10-19,2021-10-26,,,,,0.0,16993067,,
51,1854901B,아이진 16R,KOSDAQ,신주인수권증서,보통주,2021-06-02,2021-06-09,,,,,0.0,4186607,,
52,0959101B,에스에너지 12R,KOSDAQ,신주인수권증서,보통주,2021-07-06,2021-07-13,,,,,0.0,4493036,,
53,1096101A,에스와이 11R,KOSDAQ,신주인수권증서,보통주,2020-09-22,2020-09-29,,,,,0.0,9994716,,
54,2343001B,에스트래픽 11R,KOSDAQ,신주인수권증서,보통주,2021-12-02,2021-12-09,,,,,0.0,2789837,,
55,2343001A,에스트래픽 9R,KOSDAQ,신주인수권증서,보통주,2020-10-23,2020-10-30,,,,,0.0,5495374,,
56,2886201A,에스퓨얼셀 3R,KOSDAQ,신주인수권증서,보통주,2020-12-02,2020-12-09,,,,,0.0,787028,,
57,2986901A,에어부산 4R,KOSPI,신주인수권증서,보통주,2020-11-06,2020-11-13,,,,,0.0,23990552,,
58,2986901B,에어부산 5R,KOSPI,신주인수권증서,보통주,2021-09-03,2021-09-10,,,,,0.0,106235101,,
59,0546301B,에이디칩스 26R,KOSDAQ,신주인수권증서,보통주,2021-07-22,2021-07-29,,,,,0.0,26685760,,
60,2007101A,에이디테크놀로지 16R,KOSDAQ,신주인수권증서,보통주,2020-06-22,2020-06-29,,,,,0.0,3194320,,
61,0283001A,에이치엘비 78R,KOSDAQ,신주인수권증서,보통주,2020-05-11,2020-05-18,,,,,0.0,4249738,,
62,0895301B,에이티세미콘 26R,KOSDAQ,신주인수권증서,보통주,2021-09-07,2021-09-14,,,,,0.0,15992366,,
63,2302401A,에치에프알 7R,KOSDAQ,신주인수권증서,보통주,2020-12-02,2020-12-09,,,,,0.0,795134,,
64,0645101A,에코마이스터 16R,KOSDAQ,신주인수권증서,보통주,2020-06-19,2020-06-26,,,,,0.0,12993787,,
65,0381101B,에코플라스틱 6R,KOSDAQ,신주인수권증서,보통주,2021-10-21,2021-10-28,,,,,0.0,8483631,,
66,0098101A,엔케이물산 76R,KOSPI,신주인수권증서,보통주,2020-12-01,2020-12-08,,,,,0.0,37647313,,
67,CYM0801A,엘브이엠씨홀딩스 8R,KOSPI,신주인수권증서,보통주,2020-09-09,2020-09-16,,,,,0.0,33223367,,
68,0669701A,엘앤에프 24R,KOSDAQ,신주인수권증서,보통주,2020-07-22,2020-07-29,,,,,0.0,2958867,,
69,0669701B,엘앤에프 27R,KOSDAQ,신주인수권증서,보통주,2021-07-02,2021-07-09,,,,,0.0,6271752,,
