,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
0,005930,KR7005930003,삼성전자,KOSPI,,212000,1,1000,0.47,212000,212500,211500,917421,194505497250,1239411064896000,5846278608,STK
1,000660,KR7000660001,SK하이닉스,KOSPI,,1149000,1,13000,1.14,1141000,1150000,1138000,166494,190172849000,818895017385000,712702365,STK
2,005935,KR7005931001,삼성전자우,KOSPI,,145400,1,800,0.55,145500,145500,144600,154540,22441935950,116664772916200,802371203,STK
3,005380,KR7005380001,현대차,KOSPI,,536000,1,28000,5.51,530000,537000,527000,190313,101375498000,109750162576000,204757766,STK
4,373220,KR7373220003,LG에너지솔루션,KOSPI,,412500,1,4500,1.1,412000,415500,411500,23206,9575850750,96525000000000,234000000,STK
5,402340,KR7402340004,SK스퀘어,KOSPI,,676000,1,11000,1.65,678000,679000,672000,32982,22319886000,89203868936000,131958386,STK
6,012450,KR7012450003,한화에어로스페이스,KOSPI,,1546000,1,37000,2.45,1570000,1570000,1516000,18791,29125867500,79717017946000,51563401,STK
7,207940,KR7207940008,삼성바이오로직스,KOSPI,,1607000,1,5000,0.31,1602000,1617000,1602000,1088,1750703000,74389558257000,46290951,STK
8,034020,KR7034020008,두산에너빌리티,KOSPI,,108600,1,4400,4.22,107800,109000,106500,501371,54092273300,69564940455600,640561146,STK
9,000270,KR7000270009,기아,KOSPI,,156100,1,4600,3.04,154600,156600,154600,77022,11976451450,60943468987800,390412998,STK
10,105560,KR7105560007,KB금융,KOSPI,,161900,1,3700,2.34,161000,162000,159500,90608,14590883100,60364488664500,372850455,STK
11,032830,KR7032830002,삼성생명,KOSPI,,260000,1,2000,0.78,258000,260000,258000,3100,802589000,52000000000000,200000000,STK
12,329180,KR7329180004,HD현대중공업,KOSPI,,486000,1,11500,2.42,481000,488000,480000,12569,6086091250,51011155350000,104961225,STK
13,028260,KR7028260008,삼성물산,KOSPI,,310500,1,3000,0.98,314500,317000,310000,21939,6895815000,50353468600500,162168981,STK
14,009150,KR7009150004,삼성전기,KOSPI,,641000,1,27000,4.4,622000,642000,619000,59061,37277913500,47878659136000,74693696,STK
15,055550,KR7055550008,신한지주,KOSPI,,100600,1,800,0.8,101200,101200,100000,88056,8886011200,47750228716600,474654361,STK
16,068270,KR7068270008,셀트리온,KOSPI,,206500,1,4500,2.23,204500,207000,204000,33866,6963651750,45830250896500,221938261,STK
17,006800,KR7006800007,미래에셋증권,KOSPI,,72150,1,2450,3.52,71800,72300,71200,175947,12615224000,40066078837200,555316408,STK
18,042660,KR7042660001,한화오션,KOSPI,,128100,1,2300,1.83,126900,128500,126900,48603,6208179700,39251555771400,306413394,STK
19,012330,KR7012330007,현대모비스,KOSPI,,428500,1,13000,3.13,427000,429500,425000,12333,5274826500,38878911815500,90732583,STK
20,006400,KR7006400006,삼성SDI,KOSPI,,475500,1,4500,0.96,473000,479000,473000,28296,13459017750,38318419515000,80585530,STK
21,267260,KR7267260008,HD현대일렉트릭,KOSPI,,1056000,1,6000,0.57,1051000,1061000,1051000,5112,5389937500,38065774560000,36047135,STK
22,010130,KR7010130003,고려아연,KOSPI,,1694000,1,34000,2.05,1685000,1696000,1683000,690,1164791000,35358809486000,20872969,STK
23,086790,KR7086790003,하나금융지주,KOSPI,,122400,1,1300,1.07,121700,122500,121500,16252,1980920300,34067079633600,278325814,STK
24,035420,KR7035420009,NAVER,KOSPI,,217000,1,6000,2.84,219500,219500,216500,94796,20646624250,34037022446000,156852638,STK
25,005490,KR7005490008,POSCO홀딩스,KOSPI,,373500,1,5500,1.49,373000,374500,372500,9291,3469680750,29596710334500,79241527,STK
26,009540,KR7009540006,HD한국조선해양,KOSPI,,412000,1,10500,2.62,405000,413000,404000,6415,2624605500,29158523792000,70773116,STK
27,015760,KR7015760002,한국전력,KOSPI,,44700,1,350,0.79,44900,44950,44500,110051,4921836975,28695794241900,641964077,STK
28,010120,KR7010120004,LS ELECTRIC,KOSPI,,189200,1,2400,1.28,189400,189900,188800,32163,6087443250,28380000000000,150000000,STK
29,298040,KR7298040007,효성중공업,KOSPI,,3001000,1,36000,1.21,3007000,3012000,2999000,1226,3685062000,27982968548000,9324548,STK
30,042700,KR7042700005,한미반도체,KOSPI,,293500,2,-1500,-0.51,294000,295000,293000,16868,4958705500,27974130700000,95312200,STK
31,034730,KR7034730002,SK,KOSPI,,370000,1,500,0.14,373000,376500,370000,5837,2179318500,26826000110000,72502703,STK
32,316140,KR7316140003,우리금융지주,KOSPI,,35650,1,300,0.85,35600,35850,35500,26932,960730650,26169820808000,734076320,STK
33,051910,KR7051910008,LG화학,KOSPI,,360000,1,6000,1.69,360500,365000,360000,14717,5324737250,25413243480000,70592343,STK
