,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
0,005930,KR7005930003,삼성전자,KOSPI,,218750,1,1250,0.57,223000,229500,218500,21753384,4908964384750,1278873445500000,5846278608,STK
1,000660,KR7000660001,SK하이닉스,KOSPI,,1200500,2,-22500,-1.84,1220000,1267000,1200000,3487061,4314104243500,855599189182500,712702365,STK
2,005935,KR7005931001,삼성전자우,KOSPI,,153600,1,2300,1.52,154500,160800,153600,2889730,456942614850,123244216780800,802371203,STK
3,005380,KR7005380001,현대차,KOSPI,,531000,2,-10000,-1.85,547000,551000,531000,603316,327296456000,108726373746000,204757766,STK
4,373220,KR7373220003,LG에너지솔루션,KOSPI,,463500,2,-21000,-4.33,481500,484000,462500,332686,156314758250,108459000000000,234000000,STK
5,402340,KR7402340004,SK스퀘어,KOSPI,,718000,2,-2000,-0.28,726000,767000,718000,406796,300733152500,94746121148000,131958386,STK
6,034020,KR7034020008,두산에너빌리티,KOSPI,,120000,1,4100,3.54,119600,123900,118500,5375881,655708467300,76867337520000,640561146,STK
7,012450,KR7012450003,한화에어로스페이스,KOSPI,,1413000,2,-3000,-0.21,1421000,1429000,1400000,98964,140060267500,72859085613000,51563401,STK
8,207940,KR7207940008,삼성바이오로직스,KOSPI,,1540000,2,-21000,-1.35,1600000,1600000,1540000,59914,93090500500,71288064540000,46290951,STK
9,329180,KR7329180004,HD현대중공업,KOSPI,,628000,2,-13000,-2.03,638000,643000,613000,521436,327776122500,65915649300000,104961225,STK
10,000270,KR7000270009,기아,KOSPI,,158600,2,-1400,-0.88,164700,164800,158600,628022,101263091750,61919501482800,390412998,STK
11,105560,KR7105560007,KB금융,KOSPI,,157300,2,-100,-0.06,155900,157900,155000,675864,105802943700,58649376571500,372850455,STK
12,009150,KR7009150004,삼성전기,KOSPI,,765500,2,-46500,-5.73,796000,796000,764000,647489,506406690000,57178024288000,74693696,STK
13,028260,KR7028260008,삼성물산,KOSPI,,314500,1,13500,4.49,309000,323500,307500,434973,137721026750,51002144524500,162168981,STK
14,032830,KR7032830002,삼성생명,KOSPI,,254500,1,7000,2.83,255500,260000,252500,240016,61558036750,50900000000000,200000000,STK
15,006400,KR7006400006,삼성SDI,KOSPI,,624000,2,-35000,-5.31,657000,669000,623000,719557,463877822500,50285370720000,80585530,STK
16,055550,KR7055550008,신한지주,KOSPI,,99200,1,600,0.61,98700,100000,97000,606918,59807094600,47085712611200,474654361,STK
17,068270,KR7068270008,셀트리온,KOSPI,,204500,1,500,0.25,207500,207500,203500,264879,54326944750,45386374374500,221938261,STK
18,012330,KR7012330007,현대모비스,KOSPI,,445500,2,-11000,-2.41,472000,472000,445000,179782,82067422500,40421365726500,90732583,STK
19,042660,KR7042660001,한화오션,KOSPI,,131700,2,-3300,-2.44,136300,136800,131600,1594690,214768365350,40354643989800,306413394,STK
20,267260,KR7267260008,HD현대일렉트릭,KOSPI,,1106000,1,16000,1.47,1122000,1149000,1105000,125602,141813900500,39868131310000,36047135,STK
21,006800,KR7006800007,미래에셋증권,KOSPI,,66800,2,-2300,-3.33,70400,71000,66800,2048206,140941550200,37379067584000,559566880,STK
22,010130,KR7010130003,고려아연,KOSPI,,1646000,2,-52000,-3.06,1717000,1749000,1646000,24090,40476507000,34356906974000,20872969,STK
23,035420,KR7035420009,NAVER,KOSPI,,215250,1,1250,0.58,220500,221000,215000,448701,97720059000,33762530329500,156852638,STK
24,086790,KR7086790003,하나금융지주,KOSPI,,120300,1,800,0.67,122600,122600,118200,367522,44116328600,33006440084400,274367748,STK
25,005490,KR7005490008,POSCO홀딩스,KOSPI,,407000,2,-11500,-2.75,421000,421000,407000,295136,122309333250,32251301489000,79241527,STK
26,009540,KR7009540006,HD한국조선해양,KOSPI,,453500,2,-9500,-2.05,462000,464000,445000,187424,85603585250,32095608106000,70773116,STK
27,010120,KR7010120004,LS ELECTRIC,KOSPI,,207000,1,12800,6.59,211500,231500,205000,2261457,494834182150,31050000000000,150000000,STK
28,298040,KR7298040007,효성중공업,KOSPI,,3195000,1,111000,3.6,3173000,3354000,3140000,57734,187496184000,29791930860000,9324548,STK
29,015760,KR7015760002,한국전력,KOSPI,,46200,2,-150,-0.32,47650,47650,46100,1802359,84438512075,29658740357400,641964077,STK
30,010140,KR7010140002,삼성중공업,KOSPI,,33450,1,1650,5.19,32700,35350,31800,17453499,591178888025,29436000000000,880000000,STK
31,034730,KR7034730002,SK,KOSPI,,388500,1,7000,1.83,385500,399500,385500,138878,54529444000,28167300115500,72502703,STK
32,051910,KR7051910008,LG화학,KOSPI,,390500,2,-1500,-0.38,400500,403500,387000,163655,64562140750,27566309941500,70592343,STK
33,042700,KR7042700005,한미반도체,KOSPI,,288000,2,-5500,-1.87,295000,306500,287500,760141,226114582000,27449913600000,95312200,STK
34,316140,KR7316140003,우리금융지주,KOSPI,,34800,2,-100,-0.29,35600,35850,34600,900670,31464545675,25545855936000,734076320,STK
35,064350,KR7064350002,현대로템,KOSPI,,233500,2,-4000,-1.68,238000,238500,229000,622177,144606318750,25484725415500,109142293,STK
36,272210,KR7272210006,한화시스템,KOSPI,,129500,2,-4600,-3.43,133000,133000,129400,554258,72466174250,24465060875500,188919389,STK
37,000150,KR7000150003,두산,KOSPI,,1425000,2,-13000,-0.9,1463000,1510000,1425000,43885,64270128500,23076214875000,16193835,STK
38,096770,KR7096770003,SK이노베이션,KOSPI,,129700,2,-4300,-3.21,134500,135500,129700,295557,39088575050,21926146603600,169052788,STK
39,003670,KR7003670007,포스코퓨처엠,KOSPI,,244500,2,-13000,-5.05,261500,262000,244500,257410,65007486500,21747350790000,88946220,STK
40,267250,KR7267250009,HD현대,KOSPI,,272500,1,8000,3.02,273500,281500,268500,126003,34644225750,21525615662500,78993085,STK
41,035720,KR7035720002,카카오,KOSPI,,48100,2,-350,-0.72,49400,49600,48100,1051676,51063257775,21308347859500,443000995,STK
42,079550,KR7079550000,LIG디펜스앤에어로스페이스,KOSPI,,967000,2,-53000,-5.2,993000,993000,963000,233425,227522533000,21274000000000,22000000,STK
43,086520,KR7086520004,에코프로,KOSDAQ GLOBAL,중견기업부,155800,2,-8500,-5.17,164400,165100,155700,923121,147922216750,21153924481600,135776152,KSQ
44,017670,KR7017670001,SK텔레콤,KOSPI,,98100,2,-2200,-2.19,102400,102600,97700,577151,57198830650,21070904199300,214790053,STK
45,066570,KR7066570003,LG전자,KOSPI,,127900,2,-4900,-3.69,135900,135900,127900,736560,96820274900,20833168897300,162886387,STK
46,000810,KR7000810002,삼성화재,KOSPI,,458000,2,-3500,-0.76,469500,470500,456500,85065,39123565500,20448542634000,44647473,STK
47,247540,KR7247540008,에코프로비엠,KOSDAQ GLOBAL,우량기업부,205500,2,-12500,-5.73,219000,219500,205000,370775,78536781000,20104154187000,97830434,KSQ
48,033780,KR7033780008,KT&G,KOSPI,,171300,1,300,0.18,175000,175900,171000,180337,31061865350,19644109288500,114676645,STK
49,138040,KR7138040001,메리츠금융지주,KOSPI,,116600,1,1100,0.95,117900,118700,114700,131075,15231729250,19512692031800,167347273,STK
50,011200,KR7011200003,HMM,KOSPI,,20650,2,-200,-0.96,20850,21000,20600,597686,12371759375,19477864080500,943237970,STK
51,000720,KR7000720003,현대건설,KOSPI,,173100,1,4300,2.55,173200,178300,171500,1449182,254255951200,19275682921500,111355765,STK
