,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
0,005930,KR7005930003,삼성전자,KOSPI,,174200,2,-5900,-3.28,172100,175400,172000,9969994,1726994544550,1031200926012400,5919637922,STK
1,000660,KR7000660001,SK하이닉스,KOSPI,,899000,2,-34000,-3.64,890000,900000,880000,1629967,1449674123000,640719426135000,712702365,STK
2,005935,KR7005931001,삼성전자우,KOSPI,,121500,2,-4800,-3.8,119900,122000,119800,1377185,166396082550,99140921676000,815974664,STK
3,005380,KR7005380001,현대차,KOSPI,,475000,2,-15000,-3.06,472500,476000,467000,355116,167215596750,97259938850000,204757766,STK
4,373220,KR7373220003,LG에너지솔루션,KOSPI,,371000,2,-13500,-3.51,374000,374500,366000,77667,28733587250,86814000000000,234000000,STK
5,207940,KR7207940008,삼성바이오로직스,KOSPI,,1569000,2,-16000,-1.01,1551000,1570000,1537000,6494,10076743500,72630502119000,46290951,STK
6,402340,KR7402340004,SK스퀘어,KOSPI,,543000,2,-15000,-2.69,528000,545000,521000,179068,95100023500,71723303445000,132087115,STK
7,012450,KR7012450003,한화에어로스페이스,KOSPI,,1320000,2,-49000,-3.58,1349000,1349000,1287000,74581,98170828500,68063689320000,51563401,STK
8,034020,KR7034020008,두산에너빌리티,KOSPI,,96600,2,-4300,-4.26,97700,98800,95100,1604548,154594571650,61878206703600,640561146,STK
9,000270,KR7000270009,기아,KOSPI,,151900,2,-2800,-1.81,150800,152000,149400,270897,40731205900,59303734396200,390412998,STK
10,105560,KR7105560007,KB금융,KOSPI,,149800,2,-2400,-1.58,146500,150200,146100,339070,50149568650,55852998159000,372850455,STK
11,329180,KR7329180004,HD현대중공업,KOSPI,,486000,2,-25000,-4.89,494000,499500,480000,82008,39782785750,51011155350000,104961225,STK
12,068270,KR7068270008,셀트리온,KOSPI,,203000,3,0,0.0,200500,203500,199100,126631,25407516050,46902796983000,231048261,STK
13,028260,KR7028260008,삼성물산,KOSPI,,263500,2,-14500,-5.22,267500,269000,258000,221100,57979881000,44788819344000,169976544,STK
14,032830,KR7032830002,삼성생명,KOSPI,,218000,2,-4000,-1.8,218000,219500,215000,51780,11253586250,43600000000000,200000000,STK
15,055550,KR7055550008,신한지주,KOSPI,,91500,2,-1900,-2.03,93400,93500,90000,385729,35130945600,43430874031500,474654361,STK
16,042660,KR7042660001,한화오션,KOSPI,,119300,2,-6400,-5.09,120500,121800,117300,357086,42498593850,36555117904200,306413394,STK
17,012330,KR7012330007,현대모비스,KOSPI,,401500,1,3000,0.75,388000,401500,385500,75672,29712269500,36429132074500,90732583,STK
18,006800,KR7006800007,미래에셋증권,KOSPI,,63600,2,-1700,-2.6,63200,65300,62400,821410,52165136200,35318123548800,555316408,STK
19,035420,KR7035420009,NAVER,KOSPI,,210000,2,-1500,-0.71,208000,210000,206000,144167,29932238000,32939053980000,156852638,STK
20,267260,KR7267260008,HD현대일렉트릭,KOSPI,,906000,2,-59000,-6.11,933000,937000,887000,62381,56491828500,32658704310000,36047135,STK
21,009150,KR7009150004,삼성전기,KOSPI,,429000,2,-28000,-6.13,436500,438500,418000,240943,102488951750,32043595584000,74693696,STK
22,006400,KR7006400006,삼성SDI,KOSPI,,384000,2,-12500,-3.15,387500,389500,375000,173062,66016098500,30944843520000,80585530,STK
23,010130,KR7010130003,고려아연,KOSPI,,1442000,2,-104000,-6.73,1490000,1490000,1415000,12700,18273618000,30098821298000,20872969,STK
24,086790,KR7086790003,하나금융지주,KOSPI,,107000,2,-1800,-1.65,105300,107000,104200,169997,17947732900,29780862098000,278325814,STK
25,015760,KR7015760002,한국전력,KOSPI,,42700,2,-3300,-7.17,44150,44400,42200,939132,40507552975,27411866087900,641964077,STK
26,005490,KR7005490008,POSCO홀딩스,KOSPI,,330500,2,-12000,-3.5,335500,336000,327000,93754,30974845250,26748340636000,80932952,STK
27,000250,KR7000250001,삼천당제약,KOSDAQ,중견기업부,1084000,2,-74000,-6.39,1161000,1190000,1074000,101287,113133923500,25427899648000,23457472,KSQ
28,009540,KR7009540006,HD한국조선해양,KOSPI,,359000,2,-16000,-4.27,364000,366000,354000,76428,27402476250,25407548644000,70773116,STK
29,042700,KR7042700005,한미반도체,KOSPI,,264000,2,-14000,-5.04,269000,273000,257000,345443,90832146250,25162420800000,95312200,STK
30,298040,KR7298040007,효성중공업,KOSPI,,2676000,2,-184000,-6.43,2785000,2787000,2652000,16760,45283834000,24952490448000,9324548,STK
31,316140,KR7316140003,우리금융지주,KOSPI,,32900,2,-300,-0.9,32550,32900,32250,352607,11446877400,24151110928000,734076320,STK
32,010120,KR7010120004,LS ELECTRIC,KOSPI,,785000,2,-49000,-5.88,803000,810000,762000,76838,59739564500,23550000000000,30000000,STK
33,034730,KR7034730002,SK,KOSPI,,323000,2,-13500,-4.01,326000,326500,315500,36995,11849332500,23418373069000,72502703,STK
34,272210,KR7272210006,한화시스템,KOSPI,,120800,2,-8900,-6.86,123000,125000,118100,572132,69063239650,22821462191200,188919389,STK
35,010140,KR7010140002,삼성중공업,KOSPI,,25350,2,-1000,-3.8,25700,25750,25000,1229905,31109939575,22308000000000,880000000,STK
36,051910,KR7051910008,LG화학,KOSPI,,303000,2,-11000,-3.5,304000,308500,298500,76300,23051969000,21389479929000,70592343,STK
37,035720,KR7035720002,카카오,KOSPI,,47900,2,-750,-1.54,47550,47950,46950,446545,21094967925,21208511901200,442766428,STK
38,196170,KR7196170005,알테오젠,KOSDAQ GLOBAL,우량기업부,385000,1,4000,1.05,385000,387500,372000,183976,69947174750,20610529555000,53533843,KSQ
39,000810,KR7000810002,삼성화재,KOSPI,,438000,2,-15000,-3.31,443000,445500,432500,38203,16717296500,20152885890000,46011155,STK
40,267250,KR7267250009,HD현대,KOSPI,,251500,2,-15000,-5.63,256500,256500,247000,35967,9021088500,19866760877500,78993085,STK
41,064350,KR7064350002,현대로템,KOSPI,,180200,2,-9600,-5.06,183100,183900,177500,173221,31140442250,19667441198600,109142293,STK
42,000150,KR7000150003,두산,KOSPI,,1192000,2,-47000,-3.79,1166000,1193000,1132000,29337,33903145000,19303051320000,16193835,STK
43,086520,KR7086520004,에코프로,KOSDAQ GLOBAL,중견기업부,140900,2,-5100,-3.49,141100,144400,138500,372120,52291374900,19130859816800,135776152,KSQ
44,138040,KR7138040001,메리츠금융지주,KOSPI,,113000,2,-1200,-1.05,113200,113900,111200,69219,7776519350,19097143849000,169001273,STK
45,247540,KR7247540008,에코프로비엠,KOSDAQ GLOBAL,우량기업부,193100,2,-5800,-2.92,193900,195900,188700,175853,33683227950,18891056805400,97830434,KSQ
