,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
0,005930,KR7005930003,삼성전자,KOSPI,,267750,1,35250,15.16,254000,270000,251000,39443742,10231677379750,1565341097292000,5846278608,STK
1,000660,KR7000660001,SK하이닉스,KOSPI,,1602000,1,155000,10.71,1590000,1602000,1557000,4489226,7125627788000,1141749188730000,712702365,STK
2,005935,KR7005931001,삼성전자우,KOSPI,,186000,1,16400,9.67,175600,187500,175600,7608917,1390776252350,149241043758000,802371203,STK
3,402340,KR7402340004,SK스퀘어,KOSPI,,1081000,1,90000,9.08,1100000,1149000,1040000,1229047,1348631622500,142647015266000,131958386,STK
4,373220,KR7373220003,LG에너지솔루션,KOSPI,,485500,1,13500,2.86,476000,486500,466000,394829,188175298000,113607000000000,234000000,STK
5,005380,KR7005380001,현대차,KOSPI,,551000,1,12000,2.23,545000,564000,541000,1298944,717581988500,112821529066000,204757766,STK
6,034020,KR7034020008,두산에너빌리티,KOSPI,,126700,2,-500,-0.39,127900,130000,126100,2930245,373562555500,81159097198200,640561146,STK
7,012450,KR7012450003,한화에어로스페이스,KOSPI,,1439000,2,-26000,-1.77,1473000,1473000,1405000,120614,173240939500,74199734039000,51563401,STK
8,009150,KR7009150004,삼성전기,KOSPI,,918000,3,0,0.0,971000,971000,898500,926049,853494315500,68568812928000,74693696,STK
9,207940,KR7207940008,삼성바이오로직스,KOSPI,,1480000,2,-5000,-0.34,1497000,1498000,1469000,65639,97173075000,68510607480000,46290951,STK
10,329180,KR7329180004,HD현대중공업,KOSPI,,651000,2,-29000,-4.26,679000,679000,644000,407851,266483509000,68329757475000,104961225,STK
11,028260,KR7028260008,삼성물산,KOSPI,,379500,1,59500,18.59,348000,386000,340000,1273328,466549752500,61543128289500,162168981,STK
12,032830,KR7032830002,삼성생명,KOSPI,,304000,1,39000,14.72,280500,308000,270000,559603,163939074250,60800000000000,200000000,STK
13,000270,KR7000270009,기아,KOSPI,,155300,1,1300,0.84,154300,158800,154000,773161,120657188950,60631138589400,390412998,STK
14,105560,KR7105560007,KB금융,KOSPI,,161700,1,3900,2.47,162100,162400,158000,998672,160708832050,60289918573500,372850455,STK
15,006400,KR7006400006,삼성SDI,KOSPI,,701000,2,-4000,-0.57,707000,707000,677000,639093,444317619000,56490456530000,80585530,STK
16,267260,KR7267260008,HD현대일렉트릭,KOSPI,,1385000,1,86000,6.62,1354000,1420000,1337000,205820,283299302500,49925281975000,36047135,STK
17,006800,KR7006800007,미래에셋증권,KOSPI,,87300,1,17000,24.18,75500,87800,73200,17055883,1375533033450,48850188624000,559566880,STK
18,010120,KR7010120004,LS ELECTRIC,KOSPI,,317000,1,23000,7.82,305500,328500,298500,1383999,433074758000,47550000000000,150000000,STK
19,055550,KR7055550008,신한지주,KOSPI,,98400,1,400,0.41,97900,99900,97400,925336,91304361400,46705989122400,474654361,STK
20,068270,KR7068270008,셀트리온,KOSPI,,196200,2,-1600,-0.81,202000,202500,196000,564366,111950974100,43544286808200,221938261,STK
21,298040,KR7298040007,효성중공업,KOSPI,,4624000,1,396000,9.37,4247000,4624000,4231000,74533,331882089500,43116709952000,9324548,STK
22,005490,KR7005490008,POSCO홀딩스,KOSPI,,512000,1,10000,1.99,518000,519000,497500,470173,238326852500,40571661824000,79241527,STK
23,042660,KR7042660001,한화오션,KOSPI,,130700,2,-2300,-1.73,133400,133900,129500,1416548,185026397150,40048230595800,306413394,STK
24,012330,KR7012330007,현대모비스,KOSPI,,434000,1,2500,0.58,431500,441500,427000,249381,108161291250,39377941022000,90732583,STK
25,034730,KR7034730002,SK,KOSPI,,530000,1,54500,11.46,519000,600000,498500,427202,229716854000,38426432590000,72502703,STK
26,042700,KR7042700005,한미반도체,KOSPI,,384000,1,6000,1.59,395500,397500,378500,1013758,391803567000,36599884800000,95312200,STK
27,010130,KR7010130003,고려아연,KOSPI,,1724000,1,95000,5.83,1635000,1735000,1605000,57419,97101434500,35984998556000,20872969,STK
28,086790,KR7086790003,하나금융지주,KOSPI,,127000,1,400,0.32,129500,129600,126500,647895,82647600350,34844703996000,274367748,STK
29,035420,KR7035420009,NAVER,KOSPI,,208500,2,-500,-0.24,210500,213000,208000,494478,103586142500,32703775023000,156852638,STK
30,009540,KR7009540006,HD한국조선해양,KOSPI,,456500,2,-13000,-2.77,466500,469500,451000,141469,64641863500,32307927454000,70773116,STK
31,051910,KR7051910008,LG화학,KOSPI,,424000,2,-5000,-1.17,436000,436000,413000,272284,114571564000,29931153432000,70592343,STK
32,000150,KR7000150003,두산,KOSPI,,1809000,1,104000,6.1,1820000,1900000,1738000,97276,177326765500,29294647515000,16193835,STK
33,015760,KR7015760002,한국전력,KOSPI,,45400,1,900,2.02,46500,46550,45000,2142870,97697817225,29145169095800,641964077,STK
34,064350,KR7064350002,현대로템,KOSPI,,261500,2,-7500,-2.79,265000,271500,256500,611472,159240794250,28540709619500,109142293,STK
35,010140,KR7010140002,삼성중공업,KOSPI,,31950,2,-300,-0.93,33000,33000,31600,4037173,129008915625,28116000000000,880000000,STK
36,003670,KR7003670007,포스코퓨처엠,KOSPI,,290500,1,23500,8.8,275000,294500,272000,885408,253870242750,25838876910000,88946220,STK
37,066570,KR7066570003,LG전자,KOSPI,,153700,1,10500,7.33,147400,157000,147000,3305298,505127699300,25035637681900,162886387,STK
38,096770,KR7096770003,SK이노베이션,KOSPI,,144300,2,-1400,-0.96,148500,148500,139500,850897,121719196650,24394317308400,169052788,STK
39,316140,KR7316140003,우리금융지주,KOSPI,,32800,2,-500,-1.5,33450,33550,32650,2503798,82733802525,24077703296000,734076320,STK
40,272210,KR7272210006,한화시스템,KOSPI,,123700,1,4000,3.34,120000,126000,118700,1150582,140603844250,23369328419300,188919389,STK
41,267250,KR7267250009,HD현대,KOSPI,,291500,2,-11000,-3.64,299500,300500,286000,181030,52504988500,23026484277500,78993085,STK
42,000810,KR7000810002,삼성화재,KOSPI,,485500,1,12000,2.53,494000,494000,473500,347351,168173884250,21676348141500,44647473,STK
43,247540,KR7247540008,에코프로비엠,KOSDAQ GLOBAL,중견기업부,220500,1,5000,2.32,218000,224000,214000,523567,114743220250,21571610697000,97830434,KSQ
44,079550,KR7079550000,LIG디펜스앤에어로스페이스,KOSPI,,973000,2,-10000,-1.02,966000,984000,948000,168752,162697648000,21406000000000,22000000,STK
45,086520,KR7086520004,에코프로,KOSDAQ GLOBAL,중견기업부,157500,1,1700,1.09,157500,159600,155900,1013724,160043985750,21384743940000,135776152,KSQ
46,035720,KR7035720002,카카오,KOSPI,,46550,2,-550,-1.17,47100,47900,46500,1550604,72903497800,20621696317250,443000995,STK
47,017670,KR7017670001,SK텔레콤,KOSPI,,95200,2,-2200,-2.26,98900,98900,95200,593728,57203265600,20448013045600,214790053,STK
48,033780,KR7033780008,KT&G,KOSPI,,176800,2,-2800,-1.56,179600,179700,176400,237046,42095058148,20274830836000,114676645,STK
49,011200,KR7011200003,HMM,KOSPI,,20700,2,-450,-2.13,20850,20900,20600,971371,20158700825,19525025979000,943237970,STK
50,196170,KR7196170005,알테오젠,KOSDAQ GLOBAL,우량기업부,364000,2,-9000,-2.41,373000,373000,361000,211934,77120282500,19486318852000,53533843,KSQ
51,138040,KR7138040001,메리츠금융지주,KOSPI,,113800,1,400,0.35,115100,117600,112400,224795,25785913700,19044119667400,167347273,STK
52,000720,KR7000720003,현대건설,KOSPI,,164800,1,5400,3.39,161000,165800,159100,1030300,168294304950,18351430072000,111355765,STK
53,047810,KR7047810007,한국항공우주,KOSPI,,178200,2,-1800,-1.0,187400,187400,177000,978624,176361149950,17370064067400,97475107,STK
54,024110,KR7024110009,기업은행,KOSPI,,21750,2,-350,-1.58,22100,22150,21650,1581330,34527938550,17344012650750,797425869,STK
55,006260,KR7006260004,LS,KOSPI,,538000,1,29000,5.7,552000,587000,530000,267372,145745220000,16785600000000,31200000,STK
56,086280,KR7086280005,현대글로비스,KOSPI,,222000,2,-3500,-1.55,225000,229000,221500,190411,42520501750,16650000000000,75000000,STK
57,278470,KR7278470000,에이피알,KOSPI,,426500,2,-2000,-0.47,428000,429000,411000,366250,152634052750,15967373107500,37438155,STK
58,003550,KR7003550001,LG,KOSPI,,102700,1,400,0.39,102500,105300,102000,251916,26044733550,15838556779500,154221585,STK
59,071050,KR7071050009,한국금융지주,KOSPI,,283500,1,21500,8.21,279000,284500,266500,413820,114480583750,15798318732000,55725992,STK
60,030200,KR7030200000,KT,KOSPI,,59300,2,-1300,-2.15,60000,60500,59100,338008,20156796350,14944885920500,252021685,STK
61,011070,KR7011070000,LG이노텍,KOSPI,,622000,1,27000,4.54,618000,628000,595000,222323,136559644500,14720940554000,23667107,STK
62,047050,KR7047050000,포스코인터내셔널,KOSPI,,83000,2,-4300,-4.93,88500,88500,82900,549084,46463726550,14601591404000,175922788,STK
63,005940,KR7005940002,NH투자증권,KOSPI,,39000,1,2550,7.0,38750,39350,37150,2043433,78129348025,13897430391000,356344369,STK
