,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
0,005930,KR7005930003,삼성전자,KOSPI,,281000,1,10500,3.88,269500,288500,262000,33555214,9319457366471,1642804288848000,5846278608,STK
1,000660,KR7000660001,SK하이닉스,KOSPI,,1840000,1,21000,1.15,1780000,1897000,1731000,6481608,11755178614060,1311372351600000,712702365,STK
2,005935,KR7005931001,삼성전자우,KOSPI,,185100,1,5700,3.18,177000,188000,171000,5103909,924943435716,148518909675300,802371203,STK
3,402340,KR7402340004,SK스퀘어,KOSPI,,1093000,2,-5000,-0.46,1087000,1100000,983000,1003190,1071706041500,144230515898000,131958386,STK
4,005380,KR7005380001,현대차,KOSPI,,663000,2,-37000,-5.29,688000,697000,638000,2218142,1467874097000,135754398858000,204757766,STK
5,373220,KR7373220003,LG에너지솔루션,KOSPI,,408000,2,-9000,-2.16,414500,416500,391500,373359,150241751140,95472000000000,234000000,STK
6,009150,KR7009150004,삼성전기,KOSPI,,1031000,1,21000,2.08,990000,1084000,926000,1141621,1154901595230,77009200576000,74693696,STK
7,034020,KR7034020008,두산에너빌리티,KOSPI,,112100,1,1300,1.17,108100,113600,103500,4669776,509207203800,71806904466600,640561146,STK
8,028260,KR7028260008,삼성물산,KOSPI,,399500,1,3000,0.76,386500,405500,374000,489373,192119476250,64785948609500,162167581,STK
9,329180,KR7329180004,HD현대중공업,KOSPI,,615000,2,-25000,-3.91,625000,634000,590000,411579,251937294500,64551153375000,104961225,STK
10,207940,KR7207940008,삼성바이오로직스,KOSPI,,1386000,2,-33000,-2.33,1415000,1415000,1356000,54234,74844527500,64159258086000,46290951,STK
11,000270,KR7000270009,기아,KOSPI,,162500,2,-5500,-3.27,168800,170700,158600,1367438,222713646300,63442112175000,390412998,STK
12,012450,KR7012450003,한화에어로스페이스,KOSPI,,1227000,1,11000,0.9,1243000,1257000,1200000,174679,214441517440,63268293027000,51563401,STK
13,032830,KR7032830002,삼성생명,KOSPI,,313500,1,3500,1.13,307500,324000,302000,394802,124256927500,62700000000000,200000000,STK
14,105560,KR7105560007,KB금융,KOSPI,,153000,2,-2600,-1.67,154900,155900,149300,986810,151507189350,57046119615000,372850455,STK
15,012330,KR7012330007,현대모비스,KOSPI,,571000,2,-58000,-9.22,612000,620000,562000,947011,544641643000,51808304893000,90732583,STK
16,006400,KR7006400006,삼성SDI,KOSPI,,613000,2,-1000,-0.16,592000,616000,565000,554836,328350920000,49398929890000,80585530,STK
17,055550,KR7055550008,신한지주,KOSPI,,93100,2,-2000,-2.1,95900,96000,91100,1200095,111878289975,44190321009100,474654361,STK
18,267260,KR7267260008,HD현대일렉트릭,KOSPI,,1147000,2,-32000,-2.71,1137000,1174000,1073000,195181,220297678000,41346063845000,36047135,STK
19,068270,KR7068270008,셀트리온,KOSPI,,183200,2,-5600,-2.97,188100,188700,179600,630561,115062244400,40659089415200,221938261,STK
20,006800,KR7006800007,미래에셋증권,KOSPI,,70500,1,600,0.86,72000,73400,68400,3418859,241054132500,39449465040000,559566880,STK
21,034730,KR7034730002,SK,KOSPI,,530000,1,27000,5.37,505000,549000,493000,322287,168697536500,38426432590000,72502703,STK
22,010120,KR7010120004,LS ELECTRIC,KOSPI,,253500,2,-5500,-2.12,247500,255500,232500,2200388,537536573872,38025000000000,150000000,STK
23,005490,KR7005490008,POSCO홀딩스,KOSPI,,463000,2,-4500,-0.96,460500,466000,435500,503785,227305611000,36688827001000,79241527,STK
24,042660,KR7042660001,한화오션,KOSPI,,115800,2,-2300,-1.95,117900,118600,111800,1193666,138018992750,35482671025200,306413394,STK
25,066570,KR7066570003,LG전자,KOSPI,,217000,2,-23500,-9.77,249000,249500,212000,3949389,882412202250,35345966446000,162884638,STK
26,298040,KR7298040007,효성중공업,KOSPI,,3730000,2,-15000,-0.4,3718000,3850000,3511000,56866,210247020500,34780564040000,9324548,STK
27,035420,KR7035420009,NAVER,KOSPI,,200000,2,-3500,-1.72,203000,203500,196700,890762,177636294050,31374755200000,156873776,STK
28,086790,KR7086790003,하나금융지주,KOSPI,,114200,2,-4800,-4.03,119000,119600,113800,1016492,117626463250,31332796821600,274367748,STK
29,042700,KR7042700005,한미반도체,KOSPI,,317000,2,-52000,-14.09,337000,338000,296500,2398380,757437964250,30213967400000,95312200,STK
30,010130,KR7010130003,고려아연,KOSPI,,1420000,2,-6000,-0.42,1430000,1430000,1366000,17672,24792112500,29639615980000,20872969,STK
31,009540,KR7009540006,HD한국조선해양,KOSPI,,410000,2,-6000,-1.44,406000,413500,392000,285789,115914994000,29016977560000,70773116,STK
32,051910,KR7051910008,LG화학,KOSPI,,373000,2,-1000,-0.27,378500,380000,351500,248124,90936117500,26330943939000,70592343,STK
33,010140,KR7010140002,삼성중공업,KOSPI,,29550,1,250,0.85,28950,30050,27800,6497447,189474156075,26004000000000,880000000,STK
34,000150,KR7000150003,두산,KOSPI,,1593000,2,-21000,-1.3,1620000,1640000,1497000,108932,170966179500,25796779155000,16193835,STK
35,000810,KR7000810002,삼성화재,KOSPI,,554000,3,0,0.0,559000,576000,548000,147428,82340324500,24734700042000,44647473,STK
36,015760,KR7015760002,한국전력,KOSPI,,37650,2,-1100,-2.84,37950,38300,36200,2185726,81420265950,24169947499050,641964077,STK
37,316140,KR7316140003,우리금융지주,KOSPI,,30650,2,-600,-1.92,31050,31250,30000,2157747,66192290125,22499439208000,734076320,STK
38,064350,KR7064350002,현대로템,KOSPI,,201000,2,-500,-0.25,205000,206500,194600,537352,107706606750,21937600893000,109142293,STK
39,017670,KR7017670001,SK텔레콤,KOSPI,,100500,2,-800,-0.79,102200,105000,97600,1231431,123576376150,21586400326500,214790053,STK
40,267250,KR7267250009,HD현대,KOSPI,,269000,2,-500,-0.19,270500,272500,258000,150978,40435117250,21249139865000,78993085,STK
41,096770,KR7096770003,SK이노베이션,KOSPI,,123300,2,-200,-0.16,124900,126200,116900,495434,60184030750,20844208760400,169052788,STK
42,003670,KR7003670007,포스코퓨처엠,KOSPI,,232000,2,-3500,-1.49,232500,236500,220000,319699,72883896500,20635523040000,88946220,STK
43,272210,KR7272210006,한화시스템,KOSPI,,106100,1,1800,1.73,105800,106900,99700,822949,85421582600,20044347172900,188919389,STK
44,196170,KR7196170005,알테오젠,KOSDAQ GLOBAL,우량기업부,357500,2,-11500,-3.12,377000,379500,344500,490438,174196141250,19157117622500,53586343,KSQ
45,011200,KR7011200003,HMM,KOSPI,,19960,1,70,0.35,19730,20150,19250,1714572,33966924540,18827029881200,943237970,STK
46,035720,KR7035720002,카카오,KOSPI,,42450,2,-1550,-3.52,43750,43750,41600,1876958,79441997950,18810076255650,443111337,STK
47,247540,KR7247540008,에코프로비엠,KOSDAQ GLOBAL,중견기업부,190400,2,-100,-0.05,191000,194500,184100,577686,109630641550,18626914633600,97830434,KSQ
48,033780,KR7033780008,KT&G,KOSPI,,178200,2,-1600,-0.89,180000,181300,175100,296118,52730825950,18499023259200,103810456,STK
49,079550,KR7079550000,LIG디펜스앤에어로스페이스,KOSPI,,839000,1,5000,0.6,852000,882000,810000,238726,201010692000,18458000000000,22000000,STK
50,011070,KR7011070000,LG이노텍,KOSPI,,760000,1,28000,3.83,720000,773000,673000,299595,218574974500,17987001320000,23667107,STK
