Date,Close,UpDown,Comp,Change,Open,High,Low,Volume,Amount,MarCap
1998-01-03,983.9,1,11.4,0.011699999999999999,972.5,985.0,971.4,117445,2472177100,7231220961240.0
1998-01-05,975.7,2,-8.2,-0.0083,983.9,989.0,975.7,206094,3967545660,7177300495800.0
1998-01-06,964.0,2,-11.7,-0.012,975.7,978.2,963.9,267356,4038559710,7091398531260.0
1998-01-07,963.5,2,-0.5,-0.0005,964.0,970.6,959.3,215874,2636888910,7083724164780.0
1998-01-08,962.2,2,-1.3,-0.0013,963.5,968.3,961.8,567022,7069291290,7075992756960.0
1998-01-09,953.5,2,-8.7,-0.009000000000000001,962.2,962.2,947.7,207439,2636802860,7009697140120.0
1998-01-10,966.3,1,12.8,0.0134,953.5,969.9,950.6,202031,3075940590,7101149864640.0
1998-01-12,973.3,1,7.0,0.0072,966.3,980.7,966.3,460115,6762766500,7151323064160.0
1998-01-13,975.2,1,1.9,0.002,973.3,981.8,968.9,252002,3944786850,7172371489660.0
1998-01-14,971.5,2,-3.7,-0.0038,975.2,980.1,965.5,333916,6531872440,7147058042300.0
1998-01-15,988.2,1,16.7,0.0172,971.5,991.8,969.1,770643,9981557580,7272607906700.0
1998-01-16,978.6,2,-9.6,-0.0097,988.2,1007.1,978.6,402915,7194524130,7205655056920.0
1998-01-17,985.4,1,6.8,0.0069,978.6,986.4,969.2,147768,3182021910,7257372769620.0
1998-01-19,1002.4,1,17.0,0.0173,985.4,1005.8,985.4,340329,6699211920,7383945729730.0
1998-01-20,1000.5,2,-1.9,-0.0019,1002.4,1015.1,998.1,432676,8626827740,7408655175290.0
1998-01-21,995.1,2,-5.4,-0.0054,1000.5,1000.5,990.8,366482,8334525140,7376893068640.0
1998-01-22,980.5,2,-14.6,-0.0147,995.1,998.4,980.3,427154,9011213550,7278365271890.0
1998-01-23,985.1,1,4.6,0.004699999999999999,980.5,990.8,980.3,482564,10464188400,7312557269300.0
1998-01-24,994.6,1,9.5,0.0096,985.1,997.0,985.1,226907,3779091400,7387741461400.0
1998-01-26,996.7,1,2.1,0.0021,994.6,999.4,993.4,359943,7114163240,7405739674520.0
1998-01-30,1022.0,1,25.3,0.0254,1001.7,1024.3,1001.7,293857,4433238320,7582332776760.0
1998-01-31,1031.2,1,9.2,0.009000000000000001,1025.1,1042.5,1025.1,520233,7052473590,7653630216900.0
1998-02-02,1007.9,2,-23.3,-0.0226,1031.2,1031.8,1005.8,362714,5811016970,7483984629580.0
1998-02-03,1012.9,1,5.0,0.005,1007.9,1017.2,1000.0,311034,5706796320,7523125115250.0
1998-02-04,1014.0,1,1.1,0.0011,1012.9,1018.4,1006.9,273386,4920896410,7536281518470.0
1998-02-05,1005.4,2,-8.6,-0.0085,1014.0,1014.7,999.0,253838,4064190110,7474552988970.0
1998-02-06,1003.9,2,-1.5,-0.0015,1005.4,1011.6,999.4,271363,4839644450,7459513342580.0
1998-02-07,1005.7,1,1.8,0.0018,1003.9,1007.1,998.2,297945,2894570570,7475240943300.0
1998-02-09,1010.7,1,5.0,0.005,1005.7,1012.2,1003.6,290031,4729819490,7490523350100.0
1998-02-10,999.0,2,-11.7,-0.0116,1010.7,1013.0,999.0,549231,8153403580,7403185811680.0
1998-02-11,982.5,2,-16.5,-0.0165,999.0,999.0,982.5,418403,6645839660,7283536734060.0
1998-02-12,963.3,2,-19.2,-0.0195,982.5,982.5,963.3,221501,3273381710,7144765659300.0
1998-02-13,977.2,1,13.9,0.0144,963.4,984.6,963.4,254741,4045045620,7245932661360.0
1998-02-14,980.9,1,3.7,0.0038,977.2,996.5,975.6,270617,3880081950,7270214304820.0
1998-02-16,975.9,2,-5.0,-0.0051,980.9,982.5,969.8,358924,3945039720,7234355660440.0
1998-02-17,967.6,2,-8.3,-0.0085,975.9,979.1,960.6,185169,3637528840,7169295772820.0
1998-02-18,968.8,1,1.2,0.0012,967.6,975.1,965.5,409585,3664408940,7175639549100.0
1998-02-19,980.3,1,11.5,0.011899999999999999,968.8,984.8,966.8,277368,6372757660,7260937794290.0
1998-02-20,989.3,1,9.0,0.0092,980.3,994.2,978.5,589771,14760335750,7328604759080.0
1998-02-21,986.8,2,-2.5,-0.0025,989.3,990.8,982.0,320395,6363729510,7308440274060.0
