,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
0,000250,KR7000250001,삼천당제약,KOSDAQ,중견기업부,935000,2,-249000,-21.03,1138000,1141000,926000,346161,341504072500,21932736320000,23457472,KSQ
1,086520,KR7086520004,에코프로,KOSDAQ GLOBAL,중견기업부,146400,2,-300,-0.2,148900,149100,144700,291525,42707340150,19877628652800,135776152,KSQ
2,247540,KR7247540008,에코프로비엠,KOSDAQ GLOBAL,우량기업부,201000,2,-2500,-1.23,205000,205500,198500,130926,26286229000,19663917234000,97830434,KSQ
3,196170,KR7196170005,알테오젠,KOSDAQ GLOBAL,우량기업부,343500,2,-11000,-3.1,348500,355000,342000,80074,27892287250,18388875070500,53533843,KSQ
4,277810,KR7277810008,레인보우로보틱스,KOSDAQ,기술성장기업부,532000,2,-6000,-1.12,550000,551000,530000,29006,15632614500,10320724456000,19399858,KSQ
5,298380,KR7298380007,에이비엘바이오,KOSDAQ,기술성장기업부,166100,2,-5500,-3.21,169500,172900,166100,65526,11041375750,9299517604300,55987463,KSQ
6,950160,KR8840120008,코오롱티슈진,KOSDAQ,외국기업(소속부없음),109400,2,-7900,-6.73,117100,117100,108800,154156,17269820000,9205555990000,84145850,KSQ
7,058470,KR7058470006,리노공업,KOSDAQ GLOBAL,우량기업부,95800,2,-2600,-2.64,96900,97500,94500,133108,12716191150,7301095230000,76211850,KSQ
8,141080,KR7141080002,리가켐바이오,KOSDAQ GLOBAL,기술성장기업부,196700,2,-2300,-1.16,199000,205500,195600,79663,15825961350,7201253484600,36610338,KSQ
9,087010,KR7087010005,펩트론,KOSDAQ,기술성장기업부,292500,2,-5000,-1.68,291000,300000,291000,22033,6488775500,6820324875000,23317350,KSQ
10,028300,KR7028300002,HLB,KOSDAQ,중견기업부,51200,2,-2300,-4.3,52100,52800,50700,199336,10246873050,6815616204800,133117504,KSQ
11,310210,KR7310210000,보로노이,KOSDAQ,기술성장기업부,305000,2,-15000,-4.69,314000,317000,302000,21776,6705116000,5610023905000,18393521,KSQ
12,240810,KR7240810002,원익IPS,KOSDAQ GLOBAL,우량기업부,109800,2,-3400,-3.0,111400,111400,108200,101482,11124494800,5389412329800,49083901,KSQ
13,095340,KR7095340006,ISC,KOSDAQ GLOBAL,우량기업부,238000,2,-9500,-3.84,239000,244000,233500,37234,8867816250,5044899804000,21197058,KSQ
14,214370,KR7214370009,케어젠,KOSDAQ,벤처기업부,90300,2,-600,-0.66,90000,91700,89300,17243,1554867000,4850464500000,53715000,KSQ
15,039030,KR7039030002,이오테크닉스,KOSDAQ GLOBAL,우량기업부,381000,2,-5000,-1.3,382500,382500,367500,21297,7985771250,4693748550000,12319550,KSQ
