,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
0,196170,KR7196170005,알테오젠,KOSDAQ GLOBAL,우량기업부,339500,2,-14000,-3.96,349500,351500,338000,168738,57876540250,18192563448500,53586343,KSQ
1,247540,KR7247540008,에코프로비엠,KOSDAQ GLOBAL,중견기업부,165600,2,-3800,-2.24,169400,171500,165100,249594,41827445950,16200719870400,97830434,KSQ
2,086520,KR7086520004,에코프로,KOSDAQ GLOBAL,중견기업부,113300,2,-2700,-2.33,116100,117100,112900,483646,55502750850,15383438021600,135776152,KSQ
3,277810,KR7277810008,레인보우로보틱스,KOSDAQ,기술성장기업부,571000,2,-19000,-3.22,587000,590000,570000,49905,28787258000,11077318918000,19399858,KSQ
4,036930,KR7036930006,주성엔지니어링,KOSDAQ GLOBAL,우량기업부,191200,2,-1900,-0.98,187300,202000,187000,1212674,234385219350,8887190335200,46481121,KSQ
5,950160,KR8840120008,코오롱티슈진,KOSDAQ,외국기업(소속부없음),100200,2,-1900,-1.86,106000,106200,99200,172340,17405935400,8506190925000,84892125,KSQ
6,240810,KR7240810002,원익IPS,KOSDAQ GLOBAL,우량기업부,169100,1,13100,8.4,150400,171000,150400,1265826,210193335900,8300087659100,49083901,KSQ
7,058470,KR7058470006,리노공업,KOSDAQ GLOBAL,우량기업부,90300,2,-2300,-2.48,90000,93900,89900,495959,45413455900,6881930055000,76211850,KSQ
8,028300,KR7028300002,HLB,KOSDAQ,중견기업부,47700,2,-400,-0.83,48100,49050,47300,265828,12789261825,6353555237100,133198223,KSQ
9,039030,KR7039030002,이오테크닉스,KOSDAQ,우량기업부,504000,1,5500,1.1,492000,523000,487500,60737,30790092500,6209053200000,12319550,KSQ
10,440110,KR7440110005,파두,KOSDAQ,기술성장기업부,116100,1,14700,14.5,100200,118800,99300,1407567,159557152150,5816241614700,50096827,KSQ
11,000250,KR7000250001,삼천당제약,KOSDAQ,중견기업부,235000,2,-18500,-7.3,242500,250000,233500,89916,21540448750,5512505920000,23457472,KSQ
12,319660,KR7319660007,피에스케이,KOSDAQ,우량기업부,182300,1,17300,10.48,161800,196500,161800,741699,138748651800,5280631962200,28966714,KSQ
13,298380,KR7298380007,에이비엘바이오,KOSDAQ GLOBAL,기술성장기업부,94300,2,-4800,-4.84,99000,99800,94000,173561,16815399550,5279617760900,55987463,KSQ
14,222800,KR7222800005,심텍,KOSDAQ GLOBAL,중견기업부,133800,1,9500,7.64,119900,137200,119800,510875,67906700200,5012673967800,37463931,KSQ
15,403870,KR7403870009,HPSP,KOSDAQ GLOBAL,우량기업부,58600,1,2000,3.53,55100,63500,55000,6169678,372929086850,4822780000000,82300000,KSQ
16,141080,KR7141080002,리가켐바이오,KOSDAQ GLOBAL,기술성장기업부,128300,2,-6300,-4.68,132000,134400,128300,96474,12614644800,4749591329400,37019418,KSQ
17,087010,KR7087010005,펩트론,KOSDAQ,기술성장기업부,200000,2,-4500,-2.2,203500,214500,199800,118215,24145921850,4663470000000,23317350,KSQ
18,080220,KR7080220007,제주반도체,KOSDAQ,우량기업부,134600,1,20300,17.76,112000,138000,110700,7998744,1030126830850,4636005321800,34442833,KSQ
19,347850,KR7347850000,디앤디파마텍,KOSDAQ,기술성장기업부,104200,2,-7000,-6.29,112800,113100,101600,948766,101579854750,4564392117400,43804147,KSQ
