,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId,lateInfoMsgCd
0,196170,KR7196170005,알테오젠,KOSDAQ GLOBAL,우량기업부,260750,1,750,0.29,262000,267500,260000,147230,38748186250,18162575929750,69655133,KSQ,ME005
1,086520,KR7086520004,에코프로,KOSDAQ GLOBAL,중견기업부,83300,1,1800,2.21,81500,84200,80600,288062,23811503250,11310153461600,135776152,KSQ,ME005
2,247540,KR7247540008,에코프로비엠,KOSDAQ GLOBAL,중견기업부,106900,1,3000,2.89,104100,107900,102900,128099,13531148350,10458073394600,97830434,KSQ,ME005
3,036930,KR7036930006,주성엔지니어링,KOSDAQ GLOBAL,우량기업부,198600,2,-7400,-3.59,206500,211000,196900,802697,161357158250,9231150630600,46481121,KSQ,ME005
4,277810,KR7277810008,레인보우로보틱스,KOSDAQ,기술성장기업부,438000,1,17500,4.16,421500,445000,418500,47237,20668478500,8497137804000,19399858,KSQ,ME005
5,039030,KR7039030002,이오테크닉스,KOSDAQ,우량기업부,456500,1,28500,6.66,430500,457000,426500,43944,19691914000,5623874575000,12319550,KSQ,ME005
6,240810,KR7240810002,원익IPS,KOSDAQ GLOBAL,우량기업부,109800,2,-300,-0.27,110100,111000,105700,311799,33904057750,5389412329800,49083901,KSQ,ME005
7,058470,KR7058470006,리노공업,KOSDAQ GLOBAL,우량기업부,66300,1,1200,1.84,64400,66500,63900,147389,9655809750,5052845655000,76211850,KSQ,ME005
8,108490,KR7108490004,로보티즈,KOSDAQ,기술성장기업부,338000,1,13500,4.16,330000,352000,325500,477184,162973289250,4957455464000,14667028,KSQ,ME005
9,222800,KR7222800005,심텍,KOSDAQ GLOBAL,중견기업부,127300,1,2600,2.09,125300,128600,122700,216846,27477284850,4834119224400,37974228,KSQ,ME005
10,403870,KR7403870009,HPSP,KOSDAQ GLOBAL,우량기업부,53100,1,1000,1.92,51100,53700,50500,759413,39691662850,4370130000000,82300000,KSQ,ME005
11,028300,KR7028300002,HLB,KOSDAQ,중견기업부,31800,1,1450,4.78,30250,32300,30250,347266,10908251150,4235703491400,133198223,KSQ,ME005
12,095340,KR7095340006,ISC,KOSDAQ,우량기업부,186000,1,5800,3.22,179600,187600,175000,46095,8445753650,3942652788000,21197058,KSQ,ME005
13,000250,KR7000250001,삼천당제약,KOSDAQ,중견기업부,158900,1,1100,0.7,156300,161800,154700,35618,5658903900,3727392300800,23457472,KSQ,ME005
14,031980,KR7031980006,피에스케이홀딩스,KOSDAQ,우량기업부,172600,1,17100,11.0,154300,174000,154300,147748,24893871950,3721669377000,21562395,KSQ,ME005
15,319660,KR7319660007,피에스케이,KOSDAQ,우량기업부,121600,1,5500,4.74,116100,122200,115000,108354,12988834550,3522352422400,28966714,KSQ,ME005
16,214450,KR7214450009,파마리서치,KOSDAQ GLOBAL,우량기업부,338500,2,-7000,-2.03,346000,348500,336500,32969,11205987250,3516895848000,10389648,KSQ,ME005
17,298380,KR7298380007,에이비엘바이오,KOSDAQ GLOBAL,기술성장기업부,61700,2,-3200,-4.93,65000,67300,59200,304261,19090942900,3454426467100,55987463,KSQ,ME005
18,087010,KR7087010005,펩트론,KOSDAQ,기술성장기업부,146900,1,7800,5.61,146700,149700,142000,87073,12722308550,3425318715000,23317350,KSQ,ME005
19,440110,KR7440110005,파두,KOSDAQ,기술성장기업부,63400,1,3000,4.97,61000,64200,60400,119065,7475013500,3177039111800,50111027,KSQ,ME005
20,141080,KR7141080002,리가켐바이오,KOSDAQ GLOBAL,기술성장기업부,84400,2,-300,-0.35,84800,86500,83500,73646,6272190800,3124438879200,37019418,KSQ,ME005
21,084370,KR7084370006,유진테크,KOSDAQ,우량기업부,131700,2,-500,-0.38,131700,133500,129000,40336,5281739700,3018042731400,22916042,KSQ,ME005
22,064760,KR7064760002,티씨케이,KOSDAQ GLOBAL,우량기업부,265500,1,4500,1.72,258000,275000,257500,21836,5871378750,2968134948000,11179416,KSQ,ME005
23,145020,KR7145020004,휴젤,KOSDAQ,우량기업부,237000,1,5000,2.16,229500,238500,229500,16346,3854925000,2966096001000,12515173,KSQ,ME005
24,257720,KR7257720003,실리콘투,KOSDAQ,우량기업부,44050,2,-800,-1.78,45200,45550,43550,329826,14616891925,2888633900600,65576252,KSQ,ME005
25,131290,KR7131290009,티에스이,KOSDAQ,우량기업부,249000,1,13000,5.51,236500,255000,236500,48531,11973397000,2754295821000,11061429,KSQ,ME005
26,310210,KR7310210000,보로노이,KOSDAQ,기술성장기업부,141200,2,-4200,-2.89,144300,152800,139000,58693,8572238300,2615524977600,18523548,KSQ,ME005
27,095610,KR7095610002,테스,KOSDAQ GLOBAL,우량기업부,134700,1,2700,2.05,130000,136600,130000,91563,12296736750,2607792000000,19360000,KSQ,ME005
28,357780,KR7357780006,솔브레인,KOSDAQ GLOBAL,우량기업부,329000,1,1500,0.46,323000,334000,321000,9310,3058138500,2559148214000,7778566,KSQ,ME005
29,226950,KR7226950004,올릭스,KOSDAQ GLOBAL,기술성장기업부,109700,1,9600,9.59,101600,111700,101600,278256,30246656100,2495734128300,22750539,KSQ,ME005
30,080220,KR7080220007,제주반도체,KOSDAQ,우량기업부,71500,1,1000,1.42,70000,71700,69200,303028,21462959100,2462662559500,34442833,KSQ,ME005
31,319400,KR7319400008,현대무벡스,KOSDAQ,우량기업부,21700,1,850,4.08,20650,22200,20650,579150,12593908350,2416860046300,111376039,KSQ,ME005
32,058610,KR7058610007,에스피지,KOSDAQ,우량기업부,104600,1,13900,15.33,91600,107600,91200,1174480,121173162000,2319751856000,22177360,KSQ,ME005
33,032820,KR7032820003,우리기술,KOSDAQ,벤처기업부,13210,2,-640,-4.62,13840,13850,12910,3107430,40903818045,2282484724520,172784612,KSQ,ME005
34,067310,KR7067310003,하나마이크론,KOSDAQ,중견기업부,34250,1,800,2.39,32950,34450,32750,325726,10997887725,2277312263250,66490869,KSQ,ME005
35,178320,KR7178320008,서진시스템,KOSDAQ,중견기업부,35700,1,800,2.29,34600,36100,34050,216178,7581601650,2274928557300,63723489,KSQ,ME005
36,010170,KR7010170009,대한광통신,KOSDAQ,중견기업부,14390,2,-100,-0.69,14410,14600,13930,3353850,47641024860,2237438647400,155485660,KSQ,ME005
37,263750,KR7263750002,펄어비스,KOSDAQ,우량기업부,35550,1,950,2.75,34600,35950,34000,129440,4546179100,2234101000500,62843910,KSQ,ME005
38,214370,KR7214370009,케어젠,KOSDAQ,벤처기업부,40850,2,-150,-0.37,40500,41650,40500,25285,1040278850,2194257750000,53715000,KSQ,ME005
39,140410,KR7140410002,메지온,KOSDAQ,투자주의환기종목(소속부없음),70700,1,1600,2.32,69100,71500,68500,26280,1854692150,2164952351800,30621674,KSQ,ME005
40,347850,KR7347850000,디앤디파마텍,KOSDAQ,기술성장기업부,46450,1,400,0.87,46900,47450,45650,229888,10700901475,2129156938050,45837609,KSQ,ME005
41,214150,KR7214150005,클래시스,KOSDAQ GLOBAL,우량기업부,31550,2,-200,-0.63,31250,31900,31250,35691,1130745850,2058185041450,65235659,KSQ,ME005
42,005290,KR7005290002,동진쎄미켐,KOSDAQ,우량기업부,40300,1,750,1.9,39250,40600,38900,86811,3464619800,2054096077800,50970126,KSQ,ME005
43,083650,KR7083650002,비에이치아이,KOSDAQ,우량기업부,65500,1,900,1.39,64200,66500,62800,137911,8949250050,2026856562500,30944375,KSQ,ME005
44,041510,KR7041510009,에스엠,KOSDAQ GLOBAL,우량기업부,88100,1,100,0.11,86600,90500,86500,69091,6152368350,2017022189000,22894690,KSQ,ME005
45,030530,KR7030530000,원익홀딩스,KOSDAQ,중견기업부,25200,1,3300,15.07,21700,26750,21500,7084306,179368027000,1946397121200,77237981,KSQ,ME005
46,098460,KR7098460009,고영,KOSDAQ,우량기업부,27900,1,800,2.95,26850,28400,26850,470554,13096569900,1902897542700,68204213,KSQ,ME005
47,237690,KR7237690003,에스티팜,KOSDAQ GLOBAL,우량기업부,89700,1,900,1.01,88000,90700,87900,33144,2974360400,1872634428600,20876638,KSQ,ME005
48,140860,KR7140860008,파크시스템스,KOSDAQ GLOBAL,우량기업부,257000,1,6500,2.59,246000,258500,245000,10604,2699939250,1799634533000,7002469,KSQ,ME005
49,068760,KR7068760008,셀트리온제약,KOSDAQ,우량기업부,39650,1,250,0.63,39150,40000,39150,18746,744726600,1760552463800,44402332,KSQ,ME005
50,060370,KR7060370004,LS마린솔루션,KOSDAQ,우량기업부,32500,1,100,0.31,31800,32750,31300,43998,1415756550,1697762755000,52238854,KSQ,ME005
51,437730,KR7437730005,삼현,KOSDAQ,기술성장기업부,52700,1,12100,29.8,41500,52700,41000,1104353,53419658175,1670988780900,31707567,KSQ,ME005
52,089030,KR7089030001,테크윙,KOSDAQ,중견기업부,45000,1,1600,3.69,43000,45450,42600,202852,8983765875,1667414025000,37053645,KSQ,ME005
