,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
0,086520,KR7086520004,에코프로,KOSDAQ GLOBAL,중견기업부,148900,2,-4200,-2.74,153200,153800,148500,1109507,167157934600,20217069032800,135776152,KSQ
1,247540,KR7247540008,에코프로비엠,KOSDAQ GLOBAL,우량기업부,206000,2,-2500,-1.2,207500,209750,200000,574238,117467940000,20153069404000,97830434,KSQ
2,196170,KR7196170005,알테오젠,KOSDAQ GLOBAL,우량기업부,370000,2,-4500,-1.2,373000,375000,363000,318702,117224507500,19807521910000,53533843,KSQ
3,000250,KR7000250001,삼천당제약,KOSDAQ,중견기업부,504000,1,19000,3.92,545000,549000,481000,657551,338042361250,11822565888000,23457472,KSQ
4,277810,KR7277810008,레인보우로보틱스,KOSDAQ,기술성장기업부,579000,2,-27000,-4.46,615000,620000,579000,133990,79579631000,11232517782000,19399858,KSQ
5,298380,KR7298380007,에이비엘바이오,KOSDAQ,기술성장기업부,155600,2,-2800,-1.77,159800,162900,155000,356859,56356648250,8711649242800,55987463,KSQ
6,950160,KR8840120008,코오롱티슈진,KOSDAQ,외국기업(소속부없음),103500,1,2000,1.97,103800,108100,100400,337145,35342927100,8709095475000,84145850,KSQ
7,058470,KR7058470006,리노공업,KOSDAQ GLOBAL,우량기업부,113100,2,-3700,-3.17,113200,113900,109200,868388,96638722150,8619560235000,76211850,KSQ
8,028300,KR7028300002,HLB,KOSDAQ,중견기업부,55900,1,1000,1.82,54600,56800,54200,934011,51860834750,7442106973600,133132504,KSQ
9,141080,KR7141080002,리가켐바이오,KOSDAQ GLOBAL,기술성장기업부,180300,1,4600,2.62,177200,186700,176500,518099,94550914000,6600843941400,36610338,KSQ
10,087010,KR7087010005,펩트론,KOSDAQ,기술성장기업부,274000,2,-10000,-3.52,281500,286000,272500,94990,26299839000,6388953900000,23317350,KSQ
11,240810,KR7240810002,원익IPS,KOSDAQ GLOBAL,우량기업부,118100,2,-3300,-2.72,119000,119500,114200,457672,53486809500,5796808708100,49083901,KSQ
12,095340,KR7095340006,ISC,KOSDAQ GLOBAL,우량기업부,271000,1,14000,5.45,254500,277500,254000,595818,159724588500,5744402718000,21197058,KSQ
13,039030,KR7039030002,이오테크닉스,KOSDAQ GLOBAL,우량기업부,426500,2,-15500,-3.51,428500,443000,420000,91236,39023036250,5254288075000,12319550,KSQ
14,310210,KR7310210000,보로노이,KOSDAQ,기술성장기업부,282000,1,2000,0.71,277500,289500,271500,69575,19438866000,5189412222000,18402171,KSQ
15,214370,KR7214370009,케어젠,KOSDAQ,벤처기업부,84300,2,-2300,-2.66,86600,88800,82000,144811,12165562400,4528174500000,53715000,KSQ
