,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId,lateInfoMsgCd
130,281740,KR7281740001,레이크머티리얼즈,KOSDAQ,우량기업부,10720,1,30,0.28,10760,10840,10550,96850,1034665820,704631474560,65730548,KSQ,ME005
131,122640,KR7122640006,예스티,KOSDAQ,벤처기업부,32350,1,2900,9.85,29600,33250,29200,599533,19147405700,700420363750,21651325,KSQ,ME005
132,476060,KR7476060009,온코닉테라퓨틱스,KOSDAQ,기술성장기업부,15200,1,340,2.29,14970,15320,14840,75572,1137563005,690199168000,45407840,KSQ,ME005
133,137400,KR7137400008,피엔티,KOSDAQ GLOBAL,우량기업부,29100,1,100,0.34,29200,29250,28650,31215,903143150,689400184800,23690728,KSQ,ME005
134,093320,KR7093320000,케이아이엔엑스,KOSDAQ,우량기업부,139500,2,-500,-0.36,139600,140700,139100,954,133371600,680760000000,4880000,KSQ,ME005
135,048410,KR7048410005,현대바이오,KOSDAQ,중견기업부,7010,1,210,3.09,6830,7040,6780,431982,2974897935,676504059720,96505572,KSQ,ME005
136,059090,KR7059090001,미코,KOSDAQ,벤처기업부,19950,2,-30,-0.15,19980,20250,19810,60209,1204198015,666664721100,33416778,KSQ,ME005
137,033790,KR7033790007,피노,KOSDAQ,중견기업부,7890,2,-110,-1.38,8090,8140,7740,662484,5271173775,657409688430,83321887,KSQ,ME005
138,253450,KR7253450001,스튜디오드래곤,KOSDAQ GLOBAL,우량기업부,21150,1,500,2.42,20700,21150,20600,14506,302789600,635737232700,30058498,KSQ,ME005
139,064290,KR7064290000,인텍플러스,KOSDAQ,중견기업부,48950,1,2200,4.71,49500,52100,47200,336979,16498184350,634273443100,12957578,KSQ,ME005
140,475830,KR7475830006,오름테라퓨틱,KOSDAQ,기술성장기업부,29050,2,-8350,-22.33,26450,29050,26200,3023986,81330237650,631922209800,21752916,KSQ,ME005
141,036810,KR7036810000,에프에스티,KOSDAQ,중견기업부,29150,1,2050,7.56,27350,29950,27050,191886,5594202975,631091349350,21649789,KSQ,ME005
142,121600,KR7121600001,나노신소재,KOSDAQ,우량기업부,51200,2,-2200,-4.12,53100,53100,50900,33512,1722575200,627824179200,12262191,KSQ,ME005
143,033640,KR7033640004,네패스,KOSDAQ,중견기업부,27200,1,500,1.87,26400,28000,25950,191808,5232289350,627210294400,23059202,KSQ,ME005
144,358570,KR7358570000,지아이이노베이션,KOSDAQ,기술성장기업부,9600,1,40,0.42,9400,9760,9270,77168,739143270,619353657600,64516006,KSQ,ME005
145,053610,KR7053610002,프로텍,KOSDAQ,우량기업부,67300,1,2500,3.86,66000,68400,64700,19086,1280630800,605700000000,9000000,KSQ,ME005
