,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
0,000250,KR7000250001,삼천당제약,KOSDAQ,중견기업부,1160000,1,45000,4.04,1150000,1195000,1115000,205331,236767454500,27210667520000,23457472,KSQ
1,196170,KR7196170005,알테오젠,KOSDAQ GLOBAL,우량기업부,378000,1,19500,5.44,399000,399500,374500,842452,326739880500,20235792654000,53533843,KSQ
2,086520,KR7086520004,에코프로,KOSDAQ GLOBAL,중견기업부,146600,2,-4700,-3.11,149600,152500,146400,726285,108418956000,19904783883200,135776152,KSQ
3,247540,KR7247540008,에코프로비엠,KOSDAQ GLOBAL,우량기업부,199000,2,-4000,-1.97,202000,207000,198900,296684,60194949150,19468256366000,97830434,KSQ
4,277810,KR7277810008,레인보우로보틱스,KOSDAQ,기술성장기업부,559000,2,-46000,-7.6,596000,603000,558000,188946,107718690500,10844520622000,19399858,KSQ
5,950160,KR8840120008,코오롱티슈진,KOSDAQ,외국기업(소속부없음),121500,1,19200,18.77,107000,130700,102900,2597923,314124637850,10115644702500,83256335,KSQ
6,298380,KR7298380007,에이비엘바이오,KOSDAQ,기술성장기업부,179800,1,7500,4.35,181300,189400,178000,764217,140545674000,10066545847400,55987463,KSQ
7,058470,KR7058470006,리노공업,KOSDAQ GLOBAL,우량기업부,103300,2,-4200,-3.91,105700,107800,103000,497520,52533850050,7872684105000,76211850,KSQ
8,141080,KR7141080002,리가켐바이오,KOSDAQ GLOBAL,기술성장기업부,207500,2,-6000,-2.81,222000,224000,206500,384385,82406716000,7596645135000,36610338,KSQ
9,087010,KR7087010005,펩트론,KOSDAQ,기술성장기업부,288500,2,-28000,-8.85,317000,324000,286500,333010,99109395250,6727055475000,23317350,KSQ
10,028300,KR7028300002,HLB,KOSDAQ,중견기업부,50100,2,-1100,-2.15,51200,51700,50000,351351,17838387400,6669186950400,133117504,KSQ
11,240810,KR7240810002,원익IPS,KOSDAQ GLOBAL,우량기업부,122100,2,-8300,-6.37,128600,131600,121600,396648,49926772500,5993144312100,49083901,KSQ
12,310210,KR7310210000,보로노이,KOSDAQ,기술성장기업부,320000,1,20000,6.67,313000,335000,303000,119619,38433659000,5885926720000,18393521,KSQ
13,095340,KR7095340006,ISC,KOSDAQ GLOBAL,우량기업부,244000,2,-6000,-2.4,241500,253500,238000,143759,35112622250,5172082152000,21197058,KSQ
14,039030,KR7039030002,이오테크닉스,KOSDAQ GLOBAL,우량기업부,415500,2,-31000,-6.94,435000,448500,414000,62710,26863020000,5118773025000,12319550,KSQ
15,214370,KR7214370009,케어젠,KOSDAQ,벤처기업부,94500,2,-3500,-3.57,99000,99800,93300,117148,11215158500,5076067500000,53715000,KSQ
16,032820,KR7032820003,우리기술,KOSDAQ,벤처기업부,24250,2,-1600,-6.19,25850,26200,24100,13099777,323805714225,4149084838500,171096282,KSQ
17,226950,KR7226950004,올릭스,KOSDAQ,기술성장기업부,201000,1,13400,7.14,194100,207500,191300,447419,89981503100,4080417183000,20300583,KSQ
18,403870,KR7403870009,HPSP,KOSDAQ GLOBAL,우량기업부,46050,2,-3700,-7.44,48500,49000,45900,1916510,90422426625,3789915000000,82300000,KSQ
19,108490,KR7108490004,로보티즈,KOSDAQ,기술성장기업부,247000,2,-10500,-4.08,253500,257000,247000,105567,26496952500,3619223816000,14652728,KSQ
20,0009K0,KR70009K0001,에임드바이오,KOSDAQ,기술성장기업부,54700,1,1200,2.24,56600,57500,54200,410364,22923266250,3537512506700,64671161,KSQ
21,347850,KR7347850000,디앤디파마텍,KOSDAQ,기술성장기업부,79200,1,100,0.13,80600,83000,78500,556716,45163860450,3469288442400,43804147,KSQ
22,214150,KR7214150005,클래시스,KOSDAQ GLOBAL,우량기업부,52800,2,-1000,-1.86,53300,55200,52700,290710,15699244200,3444442795200,65235659,KSQ
23,043260,KR7043260009,성호전자,KOSDAQ,우량기업부,47450,2,-1050,-2.16,48500,48550,45850,408273,19136427925,3365287951350,70922823,KSQ
24,036930,KR7036930006,주성엔지니어링,KOSDAQ GLOBAL,우량기업부,71000,2,-2600,-3.53,73900,75500,70500,1101281,80380566750,3300159591000,46481121,KSQ
25,263750,KR7263750002,펄어비스,KOSDAQ GLOBAL,우량기업부,50700,1,500,1.0,54900,54900,49000,3292520,168798123750,3257366248500,64247855,KSQ
26,214450,KR7214450009,파마리서치,KOSDAQ GLOBAL,우량기업부,312500,2,-10000,-3.1,322500,331000,312000,65982,21059372750,3246765000000,10389648,KSQ
27,237690,KR7237690003,에스티팜,KOSDAQ GLOBAL,우량기업부,155700,2,-3800,-2.38,161200,164500,153600,159534,25063856550,3239703616500,20807345,KSQ
28,476830,KR7476830005,알지노믹스,KOSDAQ,기술성장기업부,229000,1,9500,4.33,223500,245250,217500,536255,125467025250,3190849818000,13933842,KSQ
29,145020,KR7145020004,휴젤,KOSDAQ GLOBAL,우량기업부,255500,2,-2500,-0.97,255000,265000,255000,36969,9633696750,3143680431500,12304033,KSQ
30,357780,KR7357780006,솔브레인,KOSDAQ GLOBAL,우량기업부,401000,2,-17000,-4.07,412500,418000,397000,40374,16388770250,3119204966000,7778566,KSQ
31,083650,KR7083650002,비에이치아이,KOSDAQ,중견기업부,99800,2,-5000,-4.77,103100,104500,98100,302045,30428114100,3088248625000,30944375,KSQ
32,319400,KR7319400008,현대무벡스,KOSDAQ,우량기업부,27200,2,-800,-2.86,27900,28200,27150,385292,10607489075,3029428260800,111376039,KSQ
33,084370,KR7084370006,유진테크,KOSDAQ,우량기업부,125050,2,-10850,-7.98,131500,131600,122500,138244,17627660250,2865651052100,22916042,KSQ
34,140410,KR7140410002,메지온,KOSDAQ,투자주의환기종목(소속부없음),93500,1,4000,4.47,90000,96900,89500,337455,31455406200,2840639114500,30381167,KSQ
35,064760,KR7064760002,티씨케이,KOSDAQ GLOBAL,우량기업부,246000,1,6000,2.5,236000,258000,234000,76663,18988793500,2750136336000,11179416,KSQ
36,178320,KR7178320008,서진시스템,KOSDAQ,벤처기업부,46750,2,-2250,-4.59,49000,49000,45700,1538601,72038415050,2747505260500,58770166,KSQ
37,440110,KR7440110005,파두,KOSDAQ,기술성장기업부,51200,2,-3500,-6.4,53400,53700,49500,1742433,88589322275,2560539494400,50010537,KSQ
38,068760,KR7068760008,셀트리온제약,KOSDAQ,우량기업부,58000,2,-700,-1.19,58300,59300,57600,65586,3834371550,2533660516000,43683802,KSQ
39,475830,KR7475830006,오름테라퓨틱,KOSDAQ,기술성장기업부,117400,1,5300,4.73,118400,124800,116500,237012,28540612750,2492680003200,21232368,KSQ
40,347700,KR7347700007,스피어,KOSDAQ,기술성장기업부,50300,1,4150,8.99,54700,54800,46750,4450086,226090642675,2480830606400,49320688,KSQ
41,005290,KR7005290002,동진쎄미켐,KOSDAQ,우량기업부,47800,2,-2200,-4.4,49350,51000,47550,389584,19050134250,2457612813200,51414494,KSQ
42,319660,KR7319660007,피에스케이,KOSDAQ GLOBAL,우량기업부,83500,2,-700,-0.83,83000,88900,82700,339532,29214343250,2418720619000,28966714,KSQ
43,058610,KR7058610007,에스피지,KOSDAQ,우량기업부,108100,2,-6700,-5.84,113700,114300,108100,207876,22875976000,2397372616000,22177360,KSQ
44,030530,KR7030530000,원익홀딩스,KOSDAQ,중견기업부,30600,2,-2050,-6.28,32650,32650,30500,593804,18559825050,2363482218600,77237981,KSQ
45,035900,KR7035900000,JYP Ent.,KOSDAQ GLOBAL,우량기업부,64300,3,0,0.0,63600,65300,63600,103253,6652204550,2284739235600,35532492,KSQ
46,257720,KR7257720003,실리콘투,KOSDAQ,우량기업부,36650,2,-1700,-4.43,38200,38200,36400,483529,17872088300,2241950428200,61171908,KSQ
47,222800,KR7222800005,심텍,KOSDAQ GLOBAL,우량기업부,59700,2,-2900,-4.63,61400,64100,59600,838172,51563162600,2229330414600,37342218,KSQ
48,067310,KR7067310003,하나마이크론,KOSDAQ,중견기업부,33050,2,-3150,-8.7,35200,36100,33000,1605351,54803635775,2195456174300,66428326,KSQ
49,218410,KR7218410009,RFHIC,KOSDAQ,우량기업부,82400,2,-6200,-7.0,86500,87200,81000,487536,40900141000,2188003620800,26553442,KSQ
50,031980,KR7031980006,피에스케이홀딩스,KOSDAQ,우량기업부,100800,2,-2300,-2.23,101400,104800,100500,107097,10960635250,2173489416000,21562395,KSQ
51,041510,KR7041510009,에스엠,KOSDAQ GLOBAL,우량기업부,92800,2,-600,-0.64,92300,94900,92200,46099,4302831650,2124627232000,22894690,KSQ
52,039200,KR7039200001,오스코텍,KOSDAQ,벤처기업부,54400,1,700,1.3,54200,56000,53700,276592,15135881750,2081244774400,38258176,KSQ
53,078600,KR7078600004,대주전자재료,KOSDAQ,우량기업부,133400,1,7200,5.71,125800,136800,124700,522246,68902970950,2065111106200,15480593,KSQ
54,099320,KR7099320004,쎄트렉아이,KOSDAQ,우량기업부,185200,2,-7600,-3.94,199400,201000,185000,142146,27190677700,2028176685600,10951278,KSQ
55,376900,KR7376900007,로킷헬스케어,KOSDAQ,기술성장기업부,128700,1,8400,6.98,121000,129500,120000,415956,52161209000,2025575709300,15738739,KSQ
56,445680,KR7445680002,큐리옥스바이오시스템즈,KOSDAQ,기술성장기업부,117800,1,900,0.77,117100,121300,115100,111349,13147927250,2016716327400,17119833,KSQ
57,491000,KR7491000006,리브스메드,KOSDAQ,기술성장기업부,79200,1,300,0.38,79700,82600,78500,309137,24882083900,1976308567200,24953391,KSQ
58,131970,KR7131970006,두산테스나,KOSDAQ GLOBAL,우량기업부,100100,2,-3300,-3.19,99500,103400,97200,296156,29809214500,1934656523800,19327238,KSQ
59,089030,KR7089030001,테크윙,KOSDAQ,중견기업부,52100,2,-2400,-4.4,54100,54300,51900,674037,35732459250,1930494904500,37053645,KSQ
60,098460,KR7098460009,고영,KOSDAQ,우량기업부,27600,2,-1500,-5.15,28850,29550,27450,1100182,31138043000,1894871238000,68654755,KSQ
61,038500,KR7038500005,삼표시멘트,KOSDAQ,우량기업부,17290,1,40,0.23,17250,17550,16580,1493509,25564405570,1865872930740,107916306,KSQ
62,101490,KR7101490001,에스앤에스텍,KOSDAQ,우량기업부,87300,2,-6300,-6.73,92300,92400,86400,200366,17929752700,1862534936700,21334879,KSQ
63,082270,KR7082270000,젬백스,KOSDAQ,벤처기업부,41950,1,350,0.84,43000,44650,41050,301794,12900677225,1853585206850,44185583,KSQ
64,085660,KR7085660009,차바이오텍,KOSDAQ,중견기업부,19660,2,-20,-0.1,19450,20450,19210,624020,12305738970,1817091129700,92425795,KSQ
65,140860,KR7140860008,파크시스템스,KOSDAQ GLOBAL,우량기업부,259500,2,-16000,-5.81,274500,278500,259000,27224,7213182000,1815866041500,6997557,KSQ
66,290650,KR7290650001,엘앤씨바이오,KOSDAQ,우량기업부,71200,2,-2800,-3.78,77100,78000,70600,225372,16559608350,1769110885600,24847063,KSQ
67,323280,KR7323280008,태성,KOSDAQ,중견기업부,56800,2,-2200,-3.73,60200,60500,56600,245274,14338498050,1734557264000,30537980,KSQ
68,003380,KR7003380003,하림지주,KOSDAQ GLOBAL,우량기업부,14920,2,-190,-1.26,15120,15360,14640,1407883,20978740390,1671123865320,112005621,KSQ
69,082920,KR7082920000,비츠로셀,KOSDAQ,우량기업부,35450,2,-400,-1.12,36450,37350,34550,1188044,42543653225,1607284459650,45339477,KSQ
70,232140,KR7232140004,와이씨,KOSDAQ,우량기업부,19560,2,-1740,-8.17,20850,20850,19540,793338,15903364560,1604807046000,82045350,KSQ
71,437730,KR7437730005,삼현,KOSDAQ,기술성장기업부,49750,2,-2550,-4.88,51800,51800,49500,80643,4068368100,1577451458250,31707567,KSQ
