,Code,Name,Close,RateCode,STR_CMP_PRC,Rate,Marcap,IDX_ID
0,005930,삼성전자,201000,2,-5000,-2.43,1189847222322000,
1,000660,SK하이닉스,1040000,1,13000,1.27,741210459600000,
2,005380,현대차,478500,2,-11000,-2.25,97976591031000,
3,373220,LG에너지솔루션,401500,2,-10500,-2.55,93951000000000,
4,012450,한화에어로스페이스,1530000,1,23000,1.53,78892003530000,
5,402340,SK스퀘어,580000,1,12000,2.11,76610526700000,
6,207940,삼성바이오로직스,1550000,2,-21000,-1.34,71750974050000,
7,034020,두산에너빌리티,99300,2,-900,-0.9,63607721797800,
8,105560,KB금융,156600,2,-1700,-1.07,58388381253000,
9,000270,기아,147400,2,-1600,-1.07,57546875905200,
10,329180,HD현대중공업,463000,2,-12000,-2.53,48597047175000,
11,055550,신한지주,98300,2,-400,-0.41,46658523686300,
12,028260,삼성물산,289500,2,-13000,-4.3,46947919999500,
13,032830,삼성생명,235000,1,500,0.21,47000000000000,
14,068270,셀트리온,195200,2,-4500,-2.25,43322348547200,
15,009150,삼성전기,568000,1,3000,0.53,42426019328000,
16,006400,삼성SDI,477500,2,-3500,-0.73,38479590575000,
17,042660,한화오션,120100,2,-3300,-2.67,36800248619400,
18,006800,미래에셋증권,65300,2,-1200,-1.8,36262161442400,
19,267260,HD현대일렉트릭,1007000,1,8000,0.8,36299464945000,
20,012330,현대모비스,391500,2,-11000,-2.73,35521806244500,
21,010130,고려아연,1663000,1,82000,5.19,34711747447000,
22,086790,하나금융지주,120000,1,500,0.42,33399097680000,
23,035420,NAVER,199000,2,-3000,-1.49,31213674962000,
24,005490,POSCO홀딩스,360000,2,-9000,-2.44,28526949720000,
25,298040,효성중공업,3058000,1,118000,4.01,28514467784000,
26,009540,HD한국조선해양,388500,2,-5500,-1.4,27495355566000,
27,015760,한국전력,42200,2,-1200,-2.76,27090884049400,
28,010120,LS ELECTRIC,179200,1,21600,13.71,26880000000000,
29,042700,한미반도체,276500,2,-9500,-3.32,26353823300000,
30,034730,SK,349500,2,-4500,-1.27,25339694698500,
31,316140,우리금융지주,34150,3,0,0.0,25068706328000,
32,272210,한화시스템,131900,2,-1400,-1.05,24918467409100,
33,051910,LG화학,340000,2,-16000,-4.49,24001396620000,
34,010140,삼성중공업,27600,2,-950,-3.33,24288000000000,
35,064350,현대로템,207000,2,-3000,-1.43,22592454651000,
36,000810,삼성화재,471500,1,2000,0.43,21694259582500,
37,035720,카카오,47000,2,-700,-1.47,20821046765000,
38,000150,두산,1294000,1,13000,1.01,20954822490000,
39,079550,LIG넥스원,939000,1,18000,1.95,20658000000000,
40,096770,SK이노베이션,121500,2,-900,-0.74,20539913742000,
41,017670,SK텔레콤,92500,2,-500,-0.54,19868079902500,
42,011200,HMM,21150,2,-500,-2.31,19949483065500,
43,267250,HD현대,244000,2,-8000,-3.17,19274312740000,
44,000720,현대건설,176000,2,-3500,-1.95,19598614640000,
45,138040,메리츠금융지주,113900,2,-1700,-1.47,19249244994700,
46,003670,포스코퓨처엠,214500,2,-3000,-1.38,19078964190000,
47,066570,LG전자,115300,2,-3100,-2.62,18780800421100,
48,033780,KT&G,165600,1,1300,0.79,18990452412000,
49,047810,한국항공우주,192500,2,-7400,-3.7,18763958097500,
50,024110,기업은행,22250,2,-100,-0.45,17742725585250,
51,030200,KT,63000,1,900,1.45,15877366155000,
52,086280,현대글로비스,212000,2,-6500,-2.97,15900000000000,
53,278470,에이피알,399500,1,6500,1.65,14956542922500,
54,071050,한국금융지주,246000,1,4500,1.86,13708594032000,
55,003550,LG,91000,2,-2000,-2.15,14034164235000,
56,010950,S-Oil,122000,1,1300,1.08,13735100624000,
57,0126Z0,삼성에피스홀딩스,539000,2,-8000,-1.46,13411963411000,
58,047050,포스코인터내셔널,74800,2,-400,-0.53,13159024542400,
59,005940,NH투자증권,33850,2,-200,-0.59,12062256890650,
60,039490,키움증권,462500,1,9500,2.1,12122906625000,
61,323410,카카오뱅크,24950,2,-300,-1.19,11903967778150,
62,005830,DB손해보험,167200,2,-2100,-1.24,11601004800000,
63,259960,크래프톤,241500,1,4000,1.68,11448570976500,
64,018260,삼성에스디에스,148700,3,0,0.0,11506078860000,
65,307950,현대오토에버,388000,2,-3500,-0.89,10640505016000,
66,352820,하이브,250000,2,-4000,-1.57,10775562250000,
67,047040,대우건설,23750,2,-550,-2.26,9759056402500,
68,028050,삼성E&A,49550,2,-1650,-3.22,9711800000000,
69,003230,삼양식품,1290000,1,52000,4.2,9717589350000,
70,016360,삼성증권,105900,2,-900,-0.84,9456870000000,
71,006260,LS,293500,3,0,0.0,9157200000000,
72,000880,한화,122500,2,-3100,-2.47,9182445037500,
73,003490,대한항공,23950,2,-750,-3.04,8818884830950,
74,007660,이수페타시스,119700,1,4800,4.18,8787083514300,
75,011070,LG이노텍,361500,2,-18500,-4.87,8555659180500,
76,443060,HD현대마린솔루션,184600,2,-1800,-0.97,8275864441000,
77,326030,SK바이오팜,98700,1,200,0.2,7729517775000,
78,267270,HD건설기계,163100,1,400,0.25,7824578645800,
79,090430,아모레퍼시픽,130600,2,-1300,-0.99,7639154325400,
80,161390,한국타이어앤테크놀로지,61400,2,-3600,-5.54,7605929236600,
81,000100,유한양행,92100,2,-800,-0.86,7335544052100,
82,032640,LG유플러스,17350,2,-60,-0.34,7457521959250,
83,066970,엘앤에프,181700,2,-5100,-2.73,7327067944500,
84,180640,한진칼,110100,2,-7600,-6.46,7350526917900,
85,377300,카카오페이,51300,2,-1800,-3.39,6938087327100,
86,009830,한화솔루션,39450,2,-1500,-3.66,6781160545200,
87,078930,GS,72700,1,1000,1.39,6754947980600,
88,128940,한미약품,510000,1,10000,2.0,6533605410000,
89,052690,한전기술,167200,1,1200,0.72,6390384000000,
