,Code,Name,Close,RateCode,STR_CMP_PRC,Rate,Marcap,IDX_ID
0,005930,삼성전자,298000,1,22000,7.97,1742191025184000,
1,000660,SK하이닉스,1940000,1,195000,11.17,1382642588100000,
2,402340,SK스퀘어,1165000,1,136000,13.22,153731519690000,
3,005380,현대차,669000,1,77000,13.01,136982945454000,
4,373220,LG에너지솔루션,395500,1,11000,2.86,92547000000000,
5,009150,삼성전기,1197000,1,136000,12.82,89408354112000,
6,032830,삼성생명,354500,1,42500,13.62,70900000000000,
7,329180,HD현대중공업,670000,1,34000,5.35,70324020750000,
8,034020,두산에너빌리티,108400,1,7100,7.01,69436828226400,
9,028260,삼성물산,420500,1,50000,13.5,68191467810500,
10,000270,기아,168600,1,19200,12.85,65823631462800,
11,012450,한화에어로스페이스,1251000,1,2000,0.16,64505814651000,
12,207940,삼성바이오로직스,1388000,1,51000,3.81,64251839988000,
13,012330,현대모비스,673000,1,138000,25.79,61063028359000,
14,105560,KB금융,154700,1,3000,1.98,57679965388500,
15,006400,삼성SDI,608000,1,38000,6.67,48996002240000,
16,055550,신한지주,94700,1,700,0.74,44949767986700,
17,068270,셀트리온,189600,1,10200,5.69,42114395853600,
18,034730,SK,568000,1,42000,7.98,41181535304000,
19,267260,HD현대일렉트릭,1137000,1,71000,6.66,40985592495000,
20,010120,LS ELECTRIC,268500,1,30000,12.58,40275000000000,
21,066570,LG전자,235000,4,54000,29.83,38277889930000,
22,006800,미래에셋증권,66300,1,4300,6.94,37099284144000,
23,298040,효성중공업,3886000,1,317000,8.88,36235193528000,
24,005490,POSCO홀딩스,439750,1,22750,5.46,34846461498250,
25,042660,한화오션,113300,1,2800,2.53,34716637540200,
26,086790,하나금융지주,118700,1,3100,2.68,32567451687600,
27,035420,NAVER,200000,1,8500,4.44,31374755200000,
28,042700,한미반도체,320000,1,32500,11.3,30499904000000,
29,010130,고려아연,1401000,1,87000,6.62,29243029569000,
30,009540,HD한국조선해양,410000,1,11000,2.76,29016977560000,
31,000150,두산,1588000,1,110000,7.44,25715809980000,
32,015760,한국전력,39200,1,2300,6.23,25164991818400,
33,010140,삼성중공업,28500,1,850,3.07,25080000000000,
34,000810,삼성화재,566000,1,23000,4.24,25270469718000,
35,051910,LG화학,344500,1,12500,3.77,24319062163500,
36,316140,우리금융지주,30100,3,0,0.0,22095697232000,
37,064350,현대로템,196000,1,5500,2.89,21391889428000,
38,267250,HD현대,274500,1,15500,5.98,21683601832500,
39,017670,SK텔레콤,102100,1,4000,4.08,21930064411300,
40,003670,포스코퓨처엠,231750,1,15250,7.04,20613286485000,
41,096770,SK이노베이션,118100,1,2600,2.25,19965134262800,
42,011070,LG이노텍,841000,1,81000,10.66,19904036987000,
43,272210,한화시스템,104000,1,2400,2.36,19647616456000,
44,003550,LG,125700,1,22600,21.92,19385653234500,
45,011200,HMM,20200,1,530,2.69,19053406994000,
46,079550,LIG디펜스앤에어로스페이스,868000,1,35000,4.2,19096000000000,
47,035720,카카오,41700,1,1550,3.86,18418498603800,
48,033780,KT&G,179800,1,1600,0.9,18665119988800,
49,138040,메리츠금융지주,108600,1,400,0.37,18173913847800,
50,307950,현대오토에버,639000,1,81000,14.52,17523924498000,
51,086280,현대글로비스,234500,1,24000,11.4,17587500000000,
52,024110,기업은행,20350,1,50,0.25,16227616434150,
53,047810,한국항공우주,164700,1,6700,4.24,16054150122900,
54,000720,현대건설,146500,1,10300,7.56,16313619572500,
55,006260,LS,519000,1,19000,3.8,16192800000000,
56,278470,에이피알,397500,1,7500,1.92,14881666612500,
57,018260,삼성에스디에스,185500,1,20700,12.56,14353581900000,
58,030200,KT,55550,2,-250,-0.45,13999804601750,
59,071050,한국금융지주,244500,1,12000,5.16,13625005044000,
60,0126Z0,삼성에피스홀딩스,488000,1,23500,5.06,12142927912000,
61,047040,대우건설,28600,1,1950,7.32,11751958446800,
62,259960,크래프톤,257500,2,-8000,-3.01,11879091197500,
63,047050,포스코인터내셔널,67400,2,-800,-1.17,11857195911200,
64,010950,S-Oil,107100,2,-3700,-3.34,12057617023200,
65,005940,NH투자증권,31500,1,1050,3.45,11224847623500,
66,016360,삼성증권,122300,1,9600,8.52,10921390000000,
67,001440,대한전선,56100,1,4100,7.88,10995184635600,
68,443060,HD현대마린솔루션,229000,1,7000,3.15,10266862340000,
69,323410,카카오뱅크,22525,1,575,2.62,10747137843425,
70,039490,키움증권,400000,1,36500,10.04,10491326400000,
71,005830,DB손해보험,156500,1,200,0.13,10250804618500,
72,028050,삼성E&A,51400,1,4000,8.44,10074400000000,
73,003490,대한항공,26450,1,1650,6.65,9739436483450,
74,003230,삼양식품,1317000,2,-40000,-2.95,9920980755000,
75,352820,하이브,230500,1,4000,1.77,9935068394500,
76,000880,한화,134400,1,11400,9.27,9476264313600,
77,007660,이수페타시스,126300,1,4700,3.87,9271584359700,
78,062040,산일전기,272500,1,27000,11.0,8342819125000,
79,180640,한진칼,117600,1,8400,7.69,7851244010400,
80,064400,LG씨엔에스,80700,1,9500,13.34,7818696003600,
81,267270,HD건설기계,157200,1,3600,2.34,7533322208400,
82,326030,SK바이오팜,93900,1,2900,3.19,7353614175000,
83,000990,DB하이텍,172400,1,10400,6.42,7500190971200,
84,161390,한국타이어앤테크놀로지,61900,1,2600,4.38,7667866771100,
85,034220,LG디스플레이,14970,1,2410,19.19,7485000000000,
86,353200,대덕전자,146200,1,13200,9.92,7224754435000,
87,454910,두산로보틱스,108700,1,13200,13.82,7045931826000,
88,078930,GS,75300,1,1400,1.89,6996527963400,
89,090430,아모레퍼시픽,116600,1,500,0.43,6820255699400,
90,000500,가온전선,411000,1,61500,17.6,6799220265000,
91,021240,코웨이,93300,1,5100,5.78,6602600845800,
92,032640,LG유플러스,15600,1,340,2.23,6705322338000,
93,000100,유한양행,83700,1,2200,2.7,6666504203700,
94,009830,한화솔루션,40450,1,500,1.25,6953053081200,
95,377300,카카오페이,47800,1,2450,5.4,6465249945000,
96,241560,두산밥캣,66400,1,2300,3.59,6364842716000,
97,082740,한화엔진,72000,1,2400,3.45,6008194224000,
98,066970,엘앤에프,153100,1,4600,3.1,6193735059700,
99,271560,오리온,134600,3,0,0.0,5321563367200,
100,336260,두산퓨얼셀,83800,1,6400,8.27,5488374238800,
101,052690,한전기술,141500,1,6000,4.43,5408130000000,
