,Code,Name,Close,RateCode,STR_CMP_PRC,Rate,Marcap,IDX_ID
0,005930,삼성전자,232750,1,1750,0.76,1360721346012000,
1,000660,SK하이닉스,1433000,1,11000,0.77,1046795559045000,
2,402340,SK스퀘어,937000,2,-2000,-0.21,123645007682000,
3,009150,삼성전기,1295000,1,17000,1.33,96728336320000,
4,373220,LG에너지솔루션,358000,2,-2000,-0.56,83772000000000,
5,005380,현대차,398000,1,2500,0.63,81493590868000,
6,207940,삼성바이오로직스,1540000,2,-16000,-1.03,71288064540000,
7,105560,KB금융,170400,2,-5400,-3.07,60438789873600,
8,012450,한화에어로스페이스,1150000,1,53000,4.83,59297911150000,
9,032830,삼성생명,277000,1,1500,0.54,55400000000000,
10,028260,삼성물산,341000,1,4500,1.34,55299145121000,
11,329180,HD현대중공업,510000,1,4000,0.79,53530224750000,
12,000270,기아,134300,2,-600,-0.44,52432465631400,
13,034020,두산에너빌리티,78200,1,1100,1.43,50091881617200,
14,055550,신한지주,104600,2,-5400,-4.91,49104494999400,
15,068270,셀트리온,198000,2,-1300,-0.65,46045633788000,
16,012330,현대모비스,499000,1,2500,0.5,45275558917000,
17,034730,SK,513000,1,5000,0.98,37193886639000,
18,006400,삼성SDI,455500,2,-3500,-0.76,36706708915000,
19,086790,하나금융지주,129800,2,-4900,-3.64,35612933690400,
20,035420,NAVER,210000,3,0,0.0,32958290820000,
21,010120,LS ELECTRIC,203000,1,2000,1.0,30450000000000,
22,066570,LG전자,187700,1,2700,1.46,30573446552600,
23,042660,한화오션,91200,1,1800,2.01,27944901532800,
24,000810,삼성화재,626000,2,-19000,-2.95,27949318098000,
25,009540,HD한국조선해양,400000,1,1500,0.38,28309246400000,
26,267260,HD현대일렉트릭,760000,2,-2000,-0.26,27395822600000,
27,298040,효성중공업,2902000,1,70000,2.47,27059838296000,
28,005490,POSCO홀딩스,330500,2,-500,-0.15,26189324673500,
29,010130,고려아연,1238000,1,132000,11.93,25840735622000,
30,316140,우리금융지주,33950,2,-850,-2.44,24718644703900,
31,015760,한국전력,35700,1,100,0.28,22918117548900,
32,138040,메리츠금융지주,123300,2,-3000,-2.38,20633918760900,
33,096770,SK이노베이션,120100,2,-200,-0.17,20303239838800,
34,000150,두산,1228000,1,37000,3.11,19886029380000,
35,011200,HMM,21300,2,-500,-2.29,20090968761000,
36,006800,미래에셋증권,35300,1,1400,4.13,19752710864000,
37,010140,삼성중공업,22200,1,150,0.68,19536000000000,
38,042700,한미반도체,201500,1,9200,4.78,19205408300000,
39,033780,KT&G,183700,2,-5100,-2.7,19069980767200,
40,051910,LG화학,272000,2,-4000,-1.45,19201117296000,
41,017670,SK텔레콤,85800,2,-2400,-2.72,18428986547400,
42,079550,LIG디펜스앤에어로스페이스,811000,1,70000,9.45,17842000000000,
43,267250,HD현대,223750,2,-1250,-0.56,17674702768750,
44,035720,카카오,39050,2,-850,-2.13,17298410783500,
45,018260,삼성에스디에스,220500,2,-1000,-0.45,17061804900000,
46,064350,현대로템,149300,1,2400,1.63,16294944344900,
47,003550,LG,105000,2,-3100,-2.87,15875160420000,
48,024110,기업은행,20400,2,-350,-1.69,16267487727600,
49,010950,S-Oil,136100,2,-1500,-1.09,15322517991200,
50,086280,현대글로비스,200500,2,-7000,-3.37,15037500000000,
51,047810,한국항공우주,152450,2,-1750,-1.13,14860080062150,
52,272210,한화시스템,73400,1,2700,3.82,13866683152600,
53,003670,포스코퓨처엠,156500,1,700,0.45,13920083430000,
54,278470,에이피알,381000,2,-3500,-0.91,14263937055000,
55,030200,KT,53000,2,-300,-0.56,13357149305000,
56,011070,LG이노텍,552000,3,0,0.0,13064243064000,
57,000720,현대건설,107500,2,-2400,-2.18,11970744737500,
58,307950,현대오토에버,431000,1,19000,4.61,11819736242000,
59,259960,크래프톤,238500,2,-3000,-1.24,11003873170500,
60,323410,카카오뱅크,21750,2,-250,-1.14,10377369504750,
61,071050,한국금융지주,189300,1,1300,0.69,10548930285600,
