,Code,Name,Close,RateCode,STR_CMP_PRC,Rate,Marcap,IDX_ID
505,134790,시디즈,19080,2,-40,-0.21,38160000000,
506,136490,선진,10860,1,60,0.56,258246499440,
507,139990,아주스틸,2200,2,-15,-0.68,85261910800,
508,143210,핸즈코퍼레이션,1199,0,0,0.0,33571739817,
509,017040,광명전기,932,0,0,0.0,40390657180,
510,017180,명문제약,1233,2,-1,-0.08,41864608782,
511,017370,우신시스템,3575,1,15,0.42,65472743050,
512,017550,수산세보틱스,1886,2,-21,-1.1,117684759180,
513,017860,DS단석,12340,2,-250,-1.99,217845843560,
514,018470,조일알미늄,4795,2,-70,-1.44,121439819480,
515,018500,동원모빌리티,1405,2,-9,-0.64,65690680865,
516,019180,티에이치엔,5110,1,40,0.79,91980000000,
517,019490,엑시큐어하이트론,541,0,0,0.0,41349858070,
518,019680,대교,1836,2,-38,-2.03,73869348600,
519,020760,일진디스플,902,0,0,0.0,55503470462,
520,021050,서원,1123,2,-16,-1.4,53313964570,
521,021820,세원정공,10560,2,-40,-0.38,105600000000,
522,023000,삼원강재,2225,2,-10,-0.45,88421402100,
523,023150,MH에탄올,4180,2,-20,-0.48,30842238680,
524,023350,한국종합기술,4055,2,-5,-0.12,44402250000,
525,023450,동남합성,31600,2,-150,-0.47,110600000000,
526,023800,인지컨트롤스,5170,3,0,0.0,81733548490,
527,023810,인팩,5140,3,0,0.0,51400000000,
528,023960,에쓰씨엔지니어링,1044,2,-8,-0.76,39709555812,
529,024070,WISCOM,1958,1,7,0.36,30009165604,
530,024090,디씨엠,11740,1,50,0.43,133836000000,
531,024890,대원화성,1719,1,13,0.76,14181457770,
532,024900,디와이덕양,1686,2,-28,-1.63,54904556280,
533,025000,KPX케미칼,56800,1,2600,4.8,248710671200,
534,025530,SJM홀딩스,3565,2,-35,-0.97,53239738520,
535,025560,미래산업,5980,2,-90,-1.48,166116494440,
536,025620,차AI헬스케어,4730,2,-35,-0.73,86104792290,
537,025750,한솔홈데코,1891,2,-4,-0.21,30469737839,
538,025820,이구산업,4370,2,-120,-2.67,146141540000,
539,025890,한국주강,2635,1,15,0.57,29366063160,
540,026940,부국철강,2235,2,-20,-0.89,44700000000,
541,027740,마니커,1507,1,4,0.27,47855710298,
542,027970,한국제지,2690,2,-60,-2.18,102301087360,
543,028100,동아지질,17990,1,130,0.73,201885884830,
544,030210,다올투자증권,4090,1,80,2.0,249126423540,
545,030720,동원수산,5230,1,90,1.75,24339400150,
546,031820,아이티센씨티에스,5720,1,130,2.33,69241435120,
547,032560,황금에스티,5590,3,0,0.0,95030000000,
548,033250,체시스,4360,1,20,0.46,27904000000,
549,033530,SJG세종,6830,1,30,0.44,184767202170,
550,033920,무학,7660,1,10,0.13,218310000000,
551,034120,SBS,12100,1,40,0.33,224469979800,
552,034590,인천도시가스,26600,2,-100,-0.37,116368456400,
553,035000,HS애드,6190,1,140,2.31,100325316360,
554,035150,백산,10950,1,80,0.74,216493315050,
555,035510,신세계 I&C,16200,1,30,0.19,226490580000,
556,036420,콘텐트리중앙,1673,1,125,8.07,32225841284,
557,036580,팜스코,2600,1,35,1.36,95492651800,
558,037270,YG PLUS,3180,1,35,1.11,202448689800,
559,037560,LG헬로비전,1647,2,-2,-0.12,127554986655,
560,037710,광주신세계,35850,1,50,0.14,273434116200,
561,039570,HDC랩스,7590,1,10,0.13,197018191590,
562,041650,상신브레이크,2200,1,20,0.92,47237190000,
563,044380,주연테크,621,2,-59,-8.68,8629612236,
564,044450,KSS해운,10170,1,70,0.69,229613429250,
565,044820,코스맥스비티아이,22950,1,1000,4.56,220409986950,
566,047400,유니온머티리얼,870,2,-24,-2.68,36540000000,
567,049800,우진플라임,1936,1,55,2.92,38720000000,
568,051630,진양화학,1367,1,2,0.15,28980400000,
569,053210,스카이라이프,4040,3,0,0.0,191992738200,
570,053690,한미글로벌,23350,1,300,1.3,255858792500,
571,055490,테이팩스,15500,2,-130,-0.83,74193075000,
572,058730,다스코,3370,1,10,0.3,68246715870,
573,009460,한창제지,2635,2,-35,-1.31,32515072610,
574,009470,삼화전기,24950,1,1400,5.94,165014809000,
575,009580,무림P&P,1622,1,22,1.38,101161421528,
576,009680,모토닉,10410,1,70,0.68,226241508540,
577,009770,삼정펄프,27900,3,0,0.0,69749190900,
578,009810,MDS스피어,1885,2,-11,-0.58,29687999770,
579,010040,한국내화,1551,2,-29,-1.84,63695013162,
580,010100,한국무브넥스,3545,1,15,0.42,107946738900,
581,010400,우진아이엔에스,4250,1,45,1.07,32393500000,
582,010640,진양폴리,1934,1,17,0.89,32297800000,
583,010660,화천기계,3175,2,-30,-0.94,69850000000,
584,010690,화신,7730,2,-100,-1.28,269934769300,
585,010770,평화홀딩스,3495,3,0,0.0,51116003670,
586,010960,삼호개발,3085,2,-15,-0.48,74410200000,
587,011000,진원생명과학,2670,0,0,0.0,48531471270,
