,Code,Name,Close,RateCode,STR_CMP_PRC,Rate,Marcap,IDX_ID
0,005930,삼성전자,168200,2,-20000,-10.63,995683098480400,
1,000660,SK하이닉스,812000,2,-112000,-12.12,578714320380000,
2,005380,현대차,496000,2,-57000,-10.31,101559851936000,
3,373220,LG에너지솔루션,352000,2,-25500,-6.75,82368000000000,
4,012450,한화에어로스페이스,1411500,2,-69500,-4.69,72781740511500,
5,207940,삼성바이오로직스,1554000,2,-90000,-5.47,71936137854000,
6,402340,SK스퀘어,489000,2,-64000,-11.57,64590599235000,
7,034020,두산에너빌리티,92700,2,-5300,-5.41,59380018234200,
8,000270,기아,150900,2,-16100,-9.64,58913321398200,
9,329180,HD현대중공업,559000,1,5000,0.9,58673324775000,
10,105560,KB금융,140100,2,-7300,-4.95,52236348745500,
11,068270,셀트리온,200000,2,-12500,-5.88,46209652200000,
12,028260,삼성물산,264500,2,-19000,-6.7,44958795888000,
13,055550,신한지주,87900,2,-3900,-4.25,41722118331900,
14,032830,삼성생명,195500,2,-14500,-6.9,39100000000000,
15,042660,한화오션,121200,2,-5500,-4.34,37137303352800,
16,012330,현대모비스,400500,2,-43500,-9.8,36338399491500,
17,006800,미래에셋증권,60700,2,-6400,-9.54,34422104053800,
18,035420,NAVER,213500,2,-9000,-4.04,33488038213000,
19,010130,고려아연,1572000,2,-180000,-10.27,32812307268000,
20,267260,HD현대일렉트릭,882000,2,-86000,-8.88,31793573070000,
21,006400,삼성SDI,381500,2,-29000,-7.06,30743379695000,
22,272210,한화시스템,161900,1,3000,1.89,30586049079100,
23,086790,하나금융지주,105000,2,-5300,-4.81,29224210470000,
24,042700,한미반도체,301250,2,-32250,-9.67,28712800250000,
25,015760,한국전력,43800,2,-5000,-10.25,28118026572600,
26,009540,HD한국조선해양,391000,2,-11000,-2.74,27672288356000,
27,009150,삼성전기,368000,2,-36500,-9.02,27487280128000,
28,005490,POSCO홀딩스,328250,2,-25250,-7.14,26566241494000,
29,010140,삼성중공업,27650,1,50,0.18,24332000000000,
30,034730,SK,322500,2,-36000,-10.04,23382121717500,
31,064350,현대로템,210500,2,-22500,-9.66,22974452676500,
32,316140,우리금융지주,31150,2,-1900,-5.75,22866477368000,
33,035720,카카오,49800,2,-3800,-7.09,22041762316200,
34,298040,효성중공업,2317000,2,-161000,-6.5,21604977716000,
35,000810,삼성화재,464500,2,-32000,-6.45,21372181497500,
36,051910,LG화학,290500,2,-36000,-11.03,20507075641500,
37,267250,HD현대,259500,2,-19500,-6.99,20498705557500,
38,096770,SK이노베이션,119400,2,-5500,-4.4,20184902887200,
39,010120,LS ELECTRIC,659000,2,-45000,-6.39,19770000000000,
40,011200,HMM,20550,2,-600,-2.84,19383540283500,
41,138040,메리츠금융지주,110800,2,-3600,-3.15,19414572448400,
42,066570,LG전자,109800,2,-8200,-6.95,17884925292600,
43,033780,KT&G,152700,2,-2000,-1.29,18015033691500,
44,079550,LIG넥스원,810000,2,-24000,-2.88,17820000000000,
45,003670,포스코퓨처엠,198600,2,-16900,-7.84,17664719292000,
46,024110,기업은행,22350,2,-1300,-5.5,17822468172150,
47,047810,한국항공우주,172400,2,-10900,-5.95,16804708446800,
48,086280,현대글로비스,224000,2,-19500,-8.01,16800000000000,
49,017670,SK텔레콤,74400,2,-2100,-2.75,15980379943200,
50,000720,현대건설,141000,2,-15800,-10.08,15701162865000,
51,000150,두산,943000,2,-107000,-10.19,15270786405000,
52,010950,S-Oil,130900,1,1200,0.93,14737087472800,
53,352820,하이브,342500,2,-10500,-2.97,14744165707500,
54,047050,포스코인터내셔널,80600,1,7300,9.96,14179376712800,
55,030200,KT,57700,2,-1300,-2.2,14541651224500,
56,003550,LG,87900,2,-6100,-6.49,13556077321500,
57,005830,DB손해보험,178000,2,-10400,-5.52,12350352000000,
58,0126Z0,삼성에피스홀딩스,500000,2,-44000,-8.09,12441524500000,
59,018260,삼성에스디에스,156200,2,-7700,-4.7,12086412360000,
60,071050,한국금융지주,210000,2,-20000,-8.7,11702458320000,
61,323410,카카오뱅크,23000,2,-1100,-4.56,10971953051000,
62,278470,에이피알,286000,2,-20000,-6.54,10705882330000,
63,005940,NH투자증권,29600,2,-2600,-8.07,10547793322400,
64,039490,키움증권,395500,2,-40000,-9.18,10722854138500,
65,307950,현대오토에버,375000,2,-34000,-8.31,10283993250000,
66,259960,크래프톤,215500,2,-10500,-4.65,10215689360500,
67,000880,한화,121100,2,-11500,-8.67,9077502808500,
68,009830,한화솔루션,49250,2,-2550,-4.92,8465707398000,
69,003490,대한항공,22050,2,-2450,-10.0,8119265575050,
70,016360,삼성증권,88700,2,-7200,-7.51,7920910000000,
71,377300,카카오페이,57700,2,-3900,-6.33,7798228279000,
72,443060,HD현대마린솔루션,165500,2,-3500,-2.07,7419585942500,
73,180640,한진칼,112100,2,-11600,-9.38,7484051475900,
74,326030,SK바이오팜,95600,2,-7300,-7.09,7486746700000,
75,000100,유한양행,95000,2,-4300,-4.33,7566522095000,
76,007660,이수페타시스,100300,2,-14300,-12.48,7362944665700,
77,003230,삼양식품,998000,2,-60000,-5.67,7517948970000,
78,090430,아모레퍼시픽,126600,2,-5000,-3.8,7405183289400,
79,006260,LS,225000,2,-24000,-9.64,7132500000000,
80,161390,한국타이어앤테크놀로지,55600,2,-3700,-6.24,6887453836400,
81,029780,삼성카드,56800,2,-2500,-4.22,6580785008800,
82,078930,GS,65600,3,0,0.0,6095248796800,
83,028050,삼성E&A,32350,2,-1100,-3.29,6340600000000,
84,032640,LG유플러스,14660,2,-430,-2.85,6301283684300,
