,Code,Name,Close,RateCode,STR_CMP_PRC,Rate,Marcap,IDX_ID
0,005930,삼성전자,217750,1,3250,1.52,1273027166892000,
1,000660,SK하이닉스,1221000,1,55000,4.72,870209587665000,
2,005380,현대차,540000,1,13000,2.47,110569193640000,
3,373220,LG에너지솔루션,471000,1,42000,9.79,110214000000000,
4,402340,SK스퀘어,709000,1,8000,1.14,93558495674000,
5,207940,삼성바이오로직스,1601000,2,-4000,-0.25,74111812551000,
6,034020,두산에너빌리티,115200,1,4200,3.78,73792644019200,
7,012450,한화에어로스페이스,1399000,2,-26000,-1.82,72137197999000,
8,000270,기아,159700,1,2300,1.46,62348955780600,
9,105560,KB금융,159600,2,-1300,-0.81,59506932618000,
10,329180,HD현대중공업,562000,1,38000,7.25,58988208450000,
11,009150,삼성전기,769000,1,89000,13.09,57439452224000,
12,032830,삼성생명,255000,1,1500,0.59,51000000000000,
13,006400,삼성SDI,624000,1,86000,15.99,50285370720000,
14,028260,삼성물산,302000,1,2000,0.67,48975032262000,
15,055550,신한지주,99700,2,-300,-0.3,47323039791700,
16,068270,셀트리온,203000,2,-2500,-1.22,45053466983000,
17,012330,현대모비스,446000,1,26000,6.19,40466732018000,
18,042660,한화오션,129900,1,1200,0.93,39803099880600,
19,267260,HD현대일렉트릭,1060000,2,-27000,-2.48,38209963100000,
20,006800,미래에셋증권,68200,2,-800,-1.16,37872579025600,
21,010130,고려아연,1674000,1,9000,0.54,34941350106000,
22,086790,하나금융지주,123500,1,800,0.65,34373238029000,
23,035420,NAVER,213000,2,-500,-0.23,33409611894000,
24,005490,POSCO홀딩스,416500,1,27000,6.93,33004095995500,
25,009540,HD한국조선해양,428000,1,15000,3.63,30290893648000,
26,015760,한국전력,46150,1,50,0.11,29626642153550,
27,298040,효성중공업,3000000,2,-10000,-0.33,27973644000000,
28,010120,LS ELECTRIC,185100,1,900,0.49,27765000000000,
29,042700,한미반도체,293000,1,6000,2.09,27926474600000,
30,034730,SK,384500,1,7500,1.99,27877289303500,
31,051910,LG화학,389000,1,23500,6.43,27460421427000,
32,010140,삼성중공업,30000,1,1450,5.08,26400000000000,
33,316140,우리금융지주,35750,3,0,0.0,26243228440000,
