,Code,Name,Close,RateCode,STR_CMP_PRC,Rate,Marcap,IDX_ID
0,005930,삼성전자,270750,2,-3750,-1.37,1582879933116000,
1,000660,SK하이닉스,1687000,1,42000,2.55,1232340619755000,
2,402340,SK스퀘어,1173000,1,19000,1.65,154787186778000,
3,009150,삼성전기,1491000,2,-67000,-4.3,111368300736000,
4,005380,현대차,442000,2,-11000,-2.43,90502932572000,
5,373220,LG에너지솔루션,355500,2,-14000,-3.79,83187000000000,
6,207940,삼성바이오로직스,1539000,2,-9000,-0.58,71241773589000,
7,032830,삼성생명,314000,1,13000,4.32,62800000000000,
8,028260,삼성물산,371500,1,2500,0.68,60245256341500,
9,105560,KB금융,167600,2,-900,-0.53,59445664218400,
10,012450,한화에어로스페이스,1139000,2,-21000,-1.81,58730713739000,
11,000270,기아,139250,2,-2450,-1.73,54365009971500,
12,034020,두산에너빌리티,80000,2,-2600,-3.15,51244891680000,
13,329180,HD현대중공업,491500,2,-18500,-3.63,51588442087500,
14,055550,신한지주,105700,2,-1700,-1.58,49620890262300,
15,012330,현대모비스,531500,2,-15500,-2.83,48224367864500,
16,068270,셀트리온,195800,2,-5200,-2.59,45546443060800,
17,034730,SK,600000,1,15000,2.56,43501621800000,
18,006400,삼성SDI,500000,2,-16000,-3.1,40292765000000,
19,086790,하나금융지주,131200,2,-1800,-1.35,35997048537600,
20,066570,LG전자,213750,2,-1250,-0.58,34816591372500,
21,035420,NAVER,219500,2,-8500,-3.73,34456579907500,
22,010120,LS ELECTRIC,210000,1,3500,1.69,31500000000000,
23,267260,HD현대일렉트릭,793000,2,-10000,-1.25,28585378055000,
24,042660,한화오션,92100,2,-3700,-3.86,28220673587400,
25,000810,삼성화재,618000,1,3000,0.49,27592138314000,
26,298040,효성중공업,2978000,1,24000,0.81,27768503944000,
27,009540,HD한국조선해양,375500,2,-10500,-2.72,26575305058000,
28,005490,POSCO홀딩스,326500,2,-7500,-2.25,25872358565500,
29,010130,고려아연,1224000,1,28000,2.34,25548514056000,
30,316140,우리금융지주,33450,2,-250,-0.74,24354599862900,
31,096770,SK이노베이션,133000,1,4300,3.34,22484020804000,
32,042700,한미반도체,233500,1,4500,1.97,22255398700000,
33,017670,SK텔레콤,100600,1,100,0.1,21607879331800,
34,015760,한국전력,32500,2,-750,-2.26,20863832502500,
35,011200,HMM,22400,1,1150,5.41,21128530528000,
36,006800,미래에셋증권,36700,2,-950,-2.52,20536104496000,
37,000150,두산,1276000,3,0,0.0,20663333460000,
38,138040,메리츠금융지주,117300,1,600,0.51,19629835122900,
39,051910,LG화학,274500,2,-6000,-2.14,19377598153500,
40,010140,삼성중공업,21425,2,-875,-3.92,18854000000000,
41,267250,HD현대,234500,2,-1000,-0.42,18523878432500,
42,033780,KT&G,175600,2,-400,-0.23,18229116073600,
43,018260,삼성에스디에스,236000,2,-7500,-3.08,18261160800000,
44,079550,LIG디펜스앤에어로스페이스,810000,2,-5000,-0.61,17820000000000,
45,010950,S-Oil,153150,1,5550,3.76,17242054594800,
46,003550,LG,114100,2,-5900,-4.92,17251007656400,
47,035720,카카오,38400,2,-1600,-4.0,17010473088000,
48,024110,기업은행,20350,2,-50,-0.25,16227616434150,
49,272210,한화시스템,80700,1,400,0.5,15245794692300,
50,011070,LG이노텍,651000,2,-3000,-0.46,15407286657000,
51,086280,현대글로비스,205500,2,-5500,-2.61,15412500000000,
52,064350,현대로템,144100,2,-2800,-1.91,15727404421300,
53,003670,포스코퓨처엠,165300,2,-5200,-3.05,14702810166000,
54,278470,에이피알,388000,2,-2500,-0.64,14526004140000,
55,030200,KT,54000,1,600,1.12,13609170990000,
56,047810,한국항공우주,141600,2,-4800,-3.28,13802475151200,
57,307950,현대오토에버,466000,2,-23500,-4.8,12779575612000,
58,000720,현대건설,111200,2,-4600,-3.97,12382761068000,
59,005830,DB손해보험,181800,1,5000,2.83,11907963448200,
60,078930,GS,117400,1,400,0.34,10905931113000,
61,071050,한국금융지주,196600,2,-7400,-3.63,10955730027200,
62,323410,카카오뱅크,21850,2,-350,-1.58,10425081548450,
63,006260,LS,341000,1,17500,5.41,10639200000000,
64,259960,크래프톤,228500,2,-9500,-3.99,10542494840500,
65,0126Z0,삼성에피스홀딩스,398000,2,-35500,-8.19,9903453502000,
66,005940,NH투자증권,27700,2,-1050,-3.65,10227009108500,
67,003230,삼양식품,1341000,1,71000,5.59,10101773115000,
68,443060,HD현대마린솔루션,206000,1,9200,4.67,9235692760000,
69,003490,대한항공,25350,2,-950,-3.61,9334393756350,
70,028050,삼성E&A,48250,2,-1550,-3.11,9457000000000,
71,047050,포스코인터내셔널,52600,2,-700,-1.31,9253538648800,
72,016360,삼성증권,90300,2,-2700,-2.9,8063790000000,
73,161390,한국타이어앤테크놀로지,68500,2,-3100,-4.33,8485442226500,
74,352820,하이브,174300,2,-5100,-2.84,7513521514800,
75,090430,아모레퍼시픽,132600,2,-3100,-2.28,7756139843400,
76,039490,키움증권,290500,2,-10000,-3.33,7619325798000,
77,007660,이수페타시스,103800,1,8200,8.58,7619876932200,
78,009830,한화솔루션,34450,2,-950,-2.68,7747547865200,
79,180640,한진칼,116500,2,-3500,-2.92,7777805503500,
80,064400,LG씨엔에스,75500,2,-4400,-5.51,7314889074000,
81,047040,대우건설,17290,2,-720,-4.0,7104593061020,
82,267270,HD건설기계,134600,2,-4000,-2.89,6450287336200,
83,000100,유한양행,80650,2,-3050,-3.64,6423579020650,
84,021240,코웨이,96200,2,-2000,-2.04,6807826381200,
85,326030,SK바이오팜,86000,2,-1300,-1.49,6734939500000,
86,353200,대덕전자,121400,1,2300,1.93,5999214695000,
87,377300,카카오페이,43400,2,-1750,-3.88,5870834529000,
88,000880,한화,83800,0,0,0.0,5908563612200,
89,032640,LG유플러스,14920,2,-140,-0.93,6332461761440,
90,241560,두산밥캣,64100,2,-2000,-3.03,6144373766500,
91,062040,산일전기,180900,2,-1600,-0.88,5543291565000,
92,001440,대한전선,29250,2,-700,-2.34,5732783433000,
93,029780,삼성카드,47900,2,-650,-1.34,5549640878900,
94,271560,오리온,126400,2,-7600,-5.67,4996438803200,
95,454910,두산로보틱스,76400,2,-2800,-3.54,4952246472000,
96,088350,한화생명,5470,2,-160,-2.84,4750859100000,
97,128940,한미약품,392500,2,-6000,-1.51,5028313967500,
98,000500,가온전선,166400,2,-700,-0.42,4954993804800,
99,010060,OCI홀딩스,275500,2,-3500,-1.25,5143648916000,
100,034220,LG디스플레이,9920,2,-350,-3.41,4960000000000,
101,036570,NC,232500,2,-15000,-6.06,5008985115000,
102,175330,JB금융지주,27700,2,-300,-1.07,5166654524800,
103,051900,LG생활건강,298500,2,-9000,-2.93,4470193615500,
104,066970,엘앤에프,107400,2,-2300,-2.1,4369382124000,
105,138930,BNK금융지주,14760,2,-370,-2.45,4580427007080,
106,001450,현대해상,49800,1,4450,9.81,4245362850000,
107,088980,맥쿼리인프라,9490,2,-200,-2.06,4544969713570,
108,000990,DB하이텍,98800,2,-4000,-3.89,4298253294400,
109,011790,SKC,87900,2,-1900,-2.12,4359690394200,
110,052690,한전기술,98000,2,-3000,-2.97,3745560000000,
111,082740,한화엔진,47800,2,-1250,-2.55,3988773387600,
112,007340,DN오토모티브,64000,1,5100,8.66,3744695360000,
113,004170,신세계,425500,2,-1500,-0.35,4018924515500,
114,001040,CJ,128500,2,-9600,-6.95,3749244243000,
115,002380,KCC,454000,2,-11500,-2.47,3901174784000,
116,004020,현대제철,29000,2,-900,-3.01,3869927765000,
117,018880,한온시스템,3690,2,-130,-3.4,3786908816880,
118,103590,일진전기,72600,2,-1700,-2.29,3461959314000,
119,111770,영원무역,80900,2,-5000,-5.82,3584797761200,
120,251270,넷마블,37950,2,-1150,-2.94,3109416969450,
121,009420,한올바이오파마,60450,1,750,1.26,3157946567100,
122,036460,한국가스공사,36400,2,-200,-0.55,3360193200000,
123,022100,포스코DX,20700,2,-1050,-4.83,3147118890300,
124,028670,팬오션,5920,1,130,2.25,3164651511040,
125,031210,서울보증보험,43950,2,-950,-2.12,3068659232100,
126,035250,강원랜드,14430,2,-160,-1.1,3087161415000,
127,011780,금호석유화학,126200,2,-4400,-3.37,3174854415000,
