Date,Close,UpDown,Comp,Change,Open,High,Low,Volume,Amount,MarCap
1995-05-02,906.04,1,9.04,0.0101,896.16,906.86,896.16,29127080,438377000000,
1995-05-03,920.73,1,14.69,0.016200000000000003,906.02,929.83,906.02,32060260,633936000000,
1995-05-04,922.05,1,1.32,0.0014000000000000002,920.66,929.08,920.66,28524250,519499000000,
1995-05-06,918.46,2,-3.59,-0.0039000000000000003,921.57,927.36,918.45,16102620,317819000000,
1995-05-08,910.39,2,-8.07,-0.0088,917.84,917.84,909.47,20899020,361304000000,
1995-05-09,903.01,2,-7.38,-0.008100000000000001,910.2,914.52,901.86,21157120,364657000000,
1995-05-10,891.87,2,-11.14,-0.0123,903.18,904.6,891.77,15925170,285046000000,
1995-05-11,884.79,2,-7.08,-0.0079,891.15,893.17,884.13,18953750,316046000000,
1995-05-12,886.11,1,1.32,0.0015,884.33,889.11,878.49,19513790,305093000000,
1995-05-13,890.11,1,4.0,0.0045000000000000005,886.74,896.3,886.74,21292380,307711000000,
1995-05-15,887.11,2,-3.0,-0.0034000000000000002,890.23,894.48,887.09,24671830,350949000000,
1995-05-16,885.33,2,-1.78,-0.002,887.49,891.05,884.8,18832910,284954000000,
1995-05-17,886.2,1,0.87,0.001,885.04,892.91,884.53,20734290,316817000000,
1995-05-18,880.4,2,-5.8,-0.006500000000000001,885.41,888.4,879.57,17311830,270795000000,
1995-05-19,876.01,2,-4.39,-0.005,881.03,883.88,875.02,16372600,252834000000,
1995-05-20,875.68,2,-0.33,-0.0004,876.32,876.32,869.63,9714210,146977000000,
1995-05-22,864.13,2,-11.55,-0.0132,875.0,875.0,863.64,11841760,179966000000,
1995-05-23,856.89,2,-7.24,-0.0084,862.83,865.12,856.89,16552030,247201000000,
1995-05-24,848.63,2,-8.26,-0.0096,857.12,859.25,847.26,15894070,249356000000,
1995-05-25,862.18,1,13.55,0.016,848.17,862.18,839.81,19776030,293781000000,
1995-05-26,850.76,2,-11.42,-0.0132,861.54,861.54,850.28,17438250,259134000000,
1995-05-27,847.09,2,-3.67,-0.0043,850.74,850.74,843.7,9333930,143738000000,
1995-05-29,887.5,1,40.41,0.04769999999999999,850.36,888.28,850.36,30181400,447766000000,
1995-05-30,881.8,2,-5.7,-0.0064,881.44,881.8,877.77,2405310,31326000000,
1995-05-31,882.5,1,0.7,0.0008,881.44,883.9,877.77,25589450,387972000000,
