Date,Close,UpDown,Comp,Change,Open,High,Low,Volume,Amount,MarCap
2018-01-02,2479.65,1,12.16,0.0049,2474.86,2481.02,2465.94,262205431,4786386686165,1613508196692261.0
2018-01-03,2486.35,1,6.7,0.0027,2484.63,2493.4,2481.91,331094681,6019622040484,1617634317727445.0
2018-01-04,2466.46,2,-19.89,-0.008,2502.5,2502.5,2466.45,333836328,6896287056563,1604916139690676.0
2018-01-05,2497.52,1,31.06,0.0126,2476.85,2497.52,2475.51,308769669,6317518427311,1624970533116195.0
2018-01-08,2513.28,1,15.76,0.0063,2510.7,2515.37,2494.18,311429324,6404885697956,1634777680824259.0
2018-01-09,2510.23,2,-3.05,-0.0012,2510.73,2524.73,2498.41,374322741,7345518522444,1632067011137727.0
2018-01-10,2499.75,2,-10.48,-0.0042,2516.33,2516.82,2493.98,444022038,8577963205899,1624057751825978.0
2018-01-11,2487.91,2,-11.84,-0.004699999999999999,2496.86,2502.52,2483.82,444340157,7789310921248,1616665407672775.0
2018-01-12,2496.42,1,8.51,0.0034000000000000002,2499.87,2500.87,2482.15,438775501,8772175387868,1621717048649402.0
2018-01-15,2503.73,1,7.31,0.0029,2510.97,2513.3,2496.18,404550878,6118634777651,1626574287749373.0
2018-01-16,2521.74,1,18.01,0.0072,2504.16,2524.55,2498.55,341606608,6913692888279,1639188169775360.0
2018-01-17,2515.43,2,-6.31,-0.0025,2517.19,2521.97,2506.49,336712525,6325747268741,1634771858627720.0
2018-01-18,2515.81,1,0.38,0.0002,2527.67,2532.08,2512.69,333112031,6447655644566,1635724489304135.0
2018-01-19,2520.26,1,4.45,0.0018,2519.67,2524.33,2513.09,351845047,6263000889905,1637786602548241.0
2018-01-22,2502.11,2,-18.15,-0.0072,2516.9,2517.12,2488.44,342994024,6385331485527,1626287540675022.0
2018-01-23,2536.6,1,34.49,0.0138,2510.35,2536.6,2507.96,370007847,6838404249758,1648667380287201.0
2018-01-24,2538.0,1,1.4,0.0006,2533.86,2547.22,2531.31,371087271,6764738182069,1649315305139719.0
2018-01-25,2562.23,1,24.23,0.0095,2536.96,2564.43,2536.73,514605010,7867501171189,1665284071087011.0
2018-01-26,2574.76,1,12.53,0.0049,2560.69,2574.76,2553.53,400648704,7673559139308,1673359183533335.0
2018-01-29,2598.19,1,23.43,0.0091,2588.87,2607.1,2587.55,437474733,7908139065694,1688814425714740.0
2018-01-30,2567.74,2,-30.45,-0.011699999999999999,2590.41,2599.17,2567.07,397038667,7877966009199,1668674846117706.0
2018-01-31,2566.46,2,-1.28,-0.0005,2557.37,2597.14,2553.01,403051379,10842647300529,1668579804446713.0
2018-02-01,2568.54,1,2.08,0.0008,2578.91,2583.74,2564.59,595147219,8053098628981,1670143714819334.0
2018-02-02,2525.39,2,-43.15,-0.0168,2565.99,2565.99,2519.6,481817771,8260733147352,1641386345850764.0
2018-02-05,2491.75,2,-33.64,-0.013300000000000001,2487.34,2503.99,2476.24,442349802,8096051108853,1620158999308614.0
2018-02-06,2453.31,2,-38.44,-0.0154,2437.02,2460.28,2409.38,582836967,9566550780902,1595275241964516.0
2018-02-07,2396.56,2,-56.75,-0.0231,2483.72,2484.18,2396.56,460075034,8369362461175,1558072990513737.0
2018-02-08,2407.62,1,11.06,0.0046,2400.17,2423.88,2393.46,362415715,7275110328522,1563754336073031.0
2018-02-09,2363.77,2,-43.85,-0.0182,2346.73,2372.9,2346.73,489112012,8524086490331,1567308138862405.0
2018-02-12,2385.38,1,21.61,0.0091,2380.49,2397.9,2367.31,352288396,6631083611178,1581810883666255.0
2018-02-13,2395.19,1,9.81,0.0040999999999999995,2402.89,2421.8,2388.54,423415702,7333093361490,1589989717563195.0
2018-02-14,2421.83,1,26.64,0.0111,2412.47,2426.63,2408.02,305739307,5970263260786,1607999332677788.0
2018-02-19,2442.82,1,20.99,0.0087,2452.52,2455.12,2428.15,322137444,5843436838599,1621617423724698.0
2018-02-20,2415.12,2,-27.7,-0.0113,2433.35,2438.48,2411.23,421485575,5146648554123,1603559124107592.0
2018-02-21,2429.65,1,14.53,0.006,2417.73,2432.45,2404.02,432275482,6074260982996,1612751528318363.0
2018-02-22,2414.28,2,-15.37,-0.0063,2417.18,2422.62,2405.23,349492766,4982023714638,1602148941100045.0
2018-02-23,2451.52,1,37.24,0.0154,2427.13,2451.52,2427.13,300578392,5387096363913,1626053757217473.0
